tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0000_r0_c7354,0,0,0,0,0,0.0,0.0
test_0001_r0_c7546,0,0,0,0,0,0.0,0.0
test_0002_r0_c7738,0,0,0,0,0,0.0,0.0
test_0003_r0_c7930,0,0,0,0,0,0.0,0.0
test_0004_r0_c8122,0,0,0,0,0,0.0,0.0
test_0005_r0_c8314,0,0,0,0,0,0.0,0.0
test_0006_r0_c8506,0,0,0,0,0,0.0,0.0
test_0007_r0_c8698,0,0,0,0,0,0.0,0.0
test_0008_r0_c8890,0,0,0,0,0,0.0,0.0
test_0009_r0_c9082,0,0,0,0,0,0.0,0.0
test_0010_r0_c9274,0,0,0,0,0,0.0,0.0
test_0011_r0_c9466,0,0,0,0,0,0.0,0.0
test_0012_r0_c9658,0,0,0,0,0,0.0,0.0
test_0013_r0_c9850,0,0,0,0,0,0.0,0.0
test_0014_r0_c10042,0,0,0,0,0,0.0,0.0
test_0015_r0_c10234,0,0,0,0,0,0.0,0.0
test_0016_r0_c10426,0,0,0,0,0,0.0,0.0
test_0017_r0_c10618,0,0,0,0,0,0.0,0.0
test_0018_r0_c10726,0,0,0,0,0,0.0,0.0
test_0019_r192_c7354,0,0,0,0,0,0.0,0.0
test_0020_r192_c7546,0,0,0,0,0,0.0,0.0
test_0021_r192_c7738,0,0,0,0,0,0.0,0.0
test_0022_r192_c7930,0,0,0,0,0,0.0,0.0
test_0023_r192_c8122,0,0,0,0,0,0.0,0.0
test_0024_r192_c8314,0,0,0,0,0,0.0,0.0
test_0025_r192_c8506,1,0,0,0,1,0.0,0.0
test_0026_r192_c8698,1,0,0,0,1,0.0,0.0
test_0027_r192_c8890,0,0,0,0,0,0.0,0.0
test_0028_r192_c9082,0,0,0,0,0,0.0,0.0
test_0029_r192_c9274,0,0,0,0,0,0.0,0.0
test_0030_r192_c9466,0,0,0,0,0,0.0,0.0
test_0031_r192_c9658,1,0,0,0,1,0.0,0.0
test_0032_r192_c9850,0,0,0,0,0,0.0,0.0
test_0033_r192_c10042,0,0,0,0,0,0.0,0.0
test_0034_r192_c10234,0,0,0,0,0,0.0,0.0
test_0035_r192_c10426,0,0,0,0,0,0.0,0.0
test_0036_r192_c10618,0,0,0,0,0,0.0,0.0
test_0037_r192_c10726,0,0,0,0,0,0.0,0.0
test_0038_r384_c7354,0,0,0,0,0,0.0,0.0
test_0039_r384_c7546,0,0,0,0,0,0.0,0.0
test_0040_r384_c7738,0,0,0,0,0,0.0,0.0
test_0041_r384_c7930,0,0,0,0,0,0.0,0.0
test_0042_r384_c8122,0,0,0,0,0,0.0,0.0
test_0043_r384_c8314,0,0,0,0,0,0.0,0.0
test_0044_r384_c8506,0,0,0,0,0,0.0,0.0
test_0045_r384_c8698,0,0,0,0,0,0.0,0.0
test_0046_r384_c8890,1,0,0,0,1,0.0,0.0
test_0047_r384_c9082,0,0,0,0,0,0.0,0.0
test_0048_r384_c9274,0,0,0,0,0,0.0,0.0
test_0049_r384_c9466,0,0,0,0,0,0.0,0.0
test_0050_r384_c9658,2,0,0,0,2,0.0,0.0
test_0051_r384_c9850,1,0,0,0,1,0.0,0.0
test_0052_r384_c10042,0,0,0,0,0,0.0,0.0
test_0053_r384_c10234,0,0,0,0,0,0.0,0.0
test_0054_r384_c10426,0,0,0,0,0,0.0,0.0
test_0055_r384_c10618,0,0,0,0,0,0.0,0.0
test_0056_r384_c10726,0,0,0,0,0,0.0,0.0
test_0057_r576_c7354,0,0,0,0,0,0.0,0.0
test_0058_r576_c7546,0,0,0,0,0,0.0,0.0
test_0059_r576_c7738,0,0,0,0,0,0.0,0.0
test_0060_r576_c7930,1,0,0,0,1,0.0,0.0
test_0061_r576_c8122,2,0,0,0,2,0.0,0.0
test_0062_r576_c8314,1,0,0,0,1,0.0,0.0
test_0063_r576_c8506,0,0,0,0,0,0.0,0.0
test_0064_r576_c8698,0,0,0,0,0,0.0,0.0
test_0065_r576_c8890,0,0,0,0,0,0.0,0.0
test_0066_r576_c9082,0,0,0,0,0,0.0,0.0
test_0067_r576_c9274,0,0,0,0,0,0.0,0.0
test_0068_r576_c9466,0,0,0,0,0,0.0,0.0
test_0069_r576_c9658,1,0,0,0,1,0.0,0.0
test_0070_r576_c9850,1,0,0,0,1,0.0,0.0
test_0071_r576_c10042,0,0,0,0,0,0.0,0.0
test_0072_r576_c10234,0,0,0,0,0,0.0,0.0
test_0073_r576_c10426,0,0,0,0,0,0.0,0.0
test_0074_r576_c10618,1,2,1,1,0,0.2091575413942337,0.14674624800682068
test_0075_r576_c10726,1,2,1,1,0,0.23318909108638763,0.16320167481899261
test_0076_r768_c7354,0,0,0,0,0,0.0,0.0
test_0077_r768_c7546,0,0,0,0,0,0.0,0.0
test_0078_r768_c7738,0,0,0,0,0,0.0,0.0
test_0079_r768_c7930,1,0,0,0,1,0.0,0.0
test_0080_r768_c8122,1,0,0,0,1,0.0,0.0
test_0081_r768_c8314,2,0,0,0,2,0.0,0.0
test_0082_r768_c8506,2,0,0,0,2,0.0,0.0
test_0083_r768_c8698,3,0,0,0,3,0.0,0.0
test_0084_r768_c8890,0,0,0,0,0,0.0,0.0
test_0085_r768_c9082,0,0,0,0,0,0.0,0.0
test_0086_r768_c9274,0,0,0,0,0,0.0,0.0
test_0087_r768_c9466,1,0,0,0,1,0.0,0.0
test_0088_r768_c9658,0,0,0,0,0,0.0,0.0
test_0089_r768_c9850,1,0,0,0,1,0.0,0.0
test_0090_r768_c10042,0,0,0,0,0,0.0,0.0
test_0091_r768_c10234,0,0,0,0,0,0.0,0.0
test_0092_r768_c10426,0,0,0,0,0,0.0,0.0
test_0093_r768_c10618,1,2,1,1,0,0.20375363528728485,0.12752629816532135
test_0094_r768_c10726,1,2,1,1,0,0.28973522782325745,0.19135010242462158
test_0095_r960_c7354,0,0,0,0,0,0.0,0.0
test_0096_r960_c7546,0,0,0,0,0,0.0,0.0
test_0097_r960_c7738,0,0,0,0,0,0.0,0.0
test_0098_r960_c7930,0,0,0,0,0,0.0,0.0
