tile_name,split,row_start,col_start,tell_count,polygon_ids,excluded_tell_count,left,bottom,right,top
train_0000_r0_c0,train,0,0,0,,0,499960.0,3597450.0,502520.0,3600010.0
train_0001_r0_c192,train,0,192,0,,0,501880.0,3597450.0,504440.0,3600010.0
train_0002_r0_c384,train,0,384,0,,0,503800.0,3597450.0,506360.0,3600010.0
train_0003_r0_c576,train,0,576,1,640,0,505720.0,3597450.0,508280.0,3600010.0
train_0004_r0_c768,train,0,768,0,,0,507640.0,3597450.0,510200.0,3600010.0
train_0005_r0_c960,train,0,960,1,924,0,509560.0,3597450.0,512120.0,3600010.0
train_0006_r0_c1152,train,0,1152,2,"641,921",0,511480.0,3597450.0,514040.0,3600010.0
train_0007_r0_c1344,train,0,1344,2,"922,923",0,513400.0,3597450.0,515960.0,3600010.0
train_0008_r0_c1536,train,0,1536,2,"922,979",0,515320.0,3597450.0,517880.0,3600010.0
train_0009_r0_c1728,train,0,1728,1,981,0,517240.0,3597450.0,519800.0,3600010.0
train_0010_r0_c1920,train,0,1920,2,"981,982",0,519160.0,3597450.0,521720.0,3600010.0
train_0011_r0_c2112,train,0,2112,1,980,0,521080.0,3597450.0,523640.0,3600010.0
train_0012_r0_c2304,train,0,2304,3,"735,736,980",0,523000.0,3597450.0,525560.0,3600010.0
train_0013_r0_c2496,train,0,2496,2,"977,978",0,524920.0,3597450.0,527480.0,3600010.0
train_0014_r0_c2688,train,0,2688,4,"734,739,740,1039",0,526840.0,3597450.0,529400.0,3600010.0
train_0015_r0_c2880,train,0,2880,8,"734,739,740,742,1039,1040,1041,1042",0,528760.0,3597450.0,531320.0,3600010.0
train_0016_r0_c3072,train,0,3072,2,"743,1041",0,530680.0,3597450.0,533240.0,3600010.0
train_0017_r0_c3264,train,0,3264,1,746,0,532600.0,3597450.0,535160.0,3600010.0
train_0018_r0_c3456,train,0,3456,1,746,0,534520.0,3597450.0,537080.0,3600010.0
train_0019_r0_c3648,train,0,3648,0,,0,536440.0,3597450.0,539000.0,3600010.0
train_0020_r0_c3840,train,0,3840,2,"747,748",0,538360.0,3597450.0,540920.0,3600010.0
train_0021_r0_c4032,train,0,4032,2,"747,748",0,540280.0,3597450.0,542840.0,3600010.0
train_0022_r0_c4224,train,0,4224,4,"752,756,757,758",0,542200.0,3597450.0,544760.0,3600010.0
train_0023_r0_c4416,train,0,4416,3,"756,757,758",0,544120.0,3597450.0,546680.0,3600010.0
train_0024_r0_c4608,train,0,4608,0,,0,546040.0,3597450.0,548600.0,3600010.0
train_0025_r0_c4800,train,0,4800,0,,0,547960.0,3597450.0,550520.0,3600010.0
train_0026_r0_c4992,train,0,4992,0,,0,549880.0,3597450.0,552440.0,3600010.0
train_0027_r0_c5184,train,0,5184,0,,0,551800.0,3597450.0,554360.0,3600010.0
train_0028_r0_c5376,train,0,5376,0,,0,553720.0,3597450.0,556280.0,3600010.0
train_0029_r0_c5568,train,0,5568,0,,0,555640.0,3597450.0,558200.0,3600010.0
train_0030_r0_c5760,train,0,5760,0,,0,557560.0,3597450.0,560120.0,3600010.0
train_0031_r0_c5805,train,0,5805,0,,0,558010.0,3597450.0,560570.0,3600010.0
train_0032_r192_c0,train,192,0,0,,0,499960.0,3595530.0,502520.0,3598090.0
train_0033_r192_c192,train,192,192,1,920,0,501880.0,3595530.0,504440.0,3598090.0
train_0034_r192_c384,train,192,384,1,638,0,503800.0,3595530.0,506360.0,3598090.0
train_0035_r192_c576,train,192,576,2,"638,639",0,505720.0,3595530.0,508280.0,3598090.0
train_0036_r192_c768,train,192,768,0,,0,507640.0,3595530.0,510200.0,3598090.0
train_0037_r192_c960,train,192,960,0,,0,509560.0,3595530.0,512120.0,3598090.0
train_0038_r192_c1152,train,192,1152,0,,0,511480.0,3595530.0,514040.0,3598090.0
train_0039_r192_c1344,train,192,1344,0,,0,513400.0,3595530.0,515960.0,3598090.0
train_0040_r192_c1536,train,192,1536,2,"642,976",0,515320.0,3595530.0,517880.0,3598090.0
train_0041_r192_c1728,train,192,1728,3,"637,643,644",0,517240.0,3595530.0,519800.0,3598090.0
train_0042_r192_c1920,train,192,1920,4,"637,643,644,645",0,519160.0,3595530.0,521720.0,3598090.0
train_0043_r192_c2112,train,192,2112,1,646,0,521080.0,3595530.0,523640.0,3598090.0
train_0044_r192_c2304,train,192,2304,2,"340,438",0,523000.0,3595530.0,525560.0,3598090.0
train_0045_r192_c2496,train,192,2496,2,"977,978",0,524920.0,3595530.0,527480.0,3598090.0
train_0046_r192_c2688,train,192,2688,4,"737,738,741,1039",0,526840.0,3595530.0,529400.0,3598090.0
train_0047_r192_c2880,train,192,2880,4,"398,741,742,1039",0,528760.0,3595530.0,531320.0,3598090.0
train_0048_r192_c3072,train,192,3072,2,"367,745",0,530680.0,3595530.0,533240.0,3598090.0
train_0049_r192_c3264,train,192,3264,3,"367,744,745",0,532600.0,3595530.0,535160.0,3598090.0
train_0050_r192_c3456,train,192,3456,3,"373,374,375",0,534520.0,3595530.0,537080.0,3598090.0
train_0051_r192_c3648,train,192,3648,2,"374,375",0,536440.0,3595530.0,539000.0,3598090.0
train_0052_r192_c3840,train,192,3840,0,,0,538360.0,3595530.0,540920.0,3598090.0
train_0053_r192_c4032,train,192,4032,3,"393,749,750",0,540280.0,3595530.0,542840.0,3598090.0
train_0054_r192_c4224,train,192,4224,7,"393,750,751,753,754,755,756",0,542200.0,3595530.0,544760.0,3598090.0
train_0055_r192_c4416,train,192,4416,6,"753,754,755,756,759,1101",0,544120.0,3595530.0,546680.0,3598090.0
train_0056_r192_c4608,train,192,4608,1,1101,0,546040.0,3595530.0,548600.0,3598090.0
train_0057_r192_c4800,train,192,4800,0,,0,547960.0,3595530.0,550520.0,3598090.0
train_0058_r192_c4992,train,192,4992,0,,0,549880.0,3595530.0,552440.0,3598090.0
train_0059_r192_c5184,train,192,5184,0,,0,551800.0,3595530.0,554360.0,3598090.0
train_0060_r192_c5376,train,192,5376,0,,0,553720.0,3595530.0,556280.0,3598090.0
train_0061_r192_c5568,train,192,5568,0,,0,555640.0,3595530.0,558200.0,3598090.0
train_0062_r192_c5760,train,192,5760,0,,0,557560.0,3595530.0,560120.0,3598090.0
train_0063_r192_c5805,train,192,5805,0,,0,558010.0,3595530.0,560570.0,3598090.0
train_0064_r384_c0,train,384,0,0,,0,499960.0,3593610.0,502520.0,3596170.0
train_0065_r384_c192,train,384,192,2,"917,918",0,501880.0,3593610.0,504440.0,3596170.0
train_0066_r384_c384,train,384,384,2,"638,918",0,503800.0,3593610.0,506360.0,3596170.0
train_0067_r384_c576,train,384,576,1,638,0,505720.0,3593610.0,508280.0,3596170.0
train_0068_r384_c768,train,384,768,2,"729,730",0,507640.0,3593610.0,510200.0,3596170.0
train_0069_r384_c960,train,384,960,1,714,0,509560.0,3593610.0,512120.0,3596170.0
train_0070_r384_c1152,train,384,1152,0,,0,511480.0,3593610.0,514040.0,3596170.0
train_0071_r384_c1344,train,384,1344,1,919,0,513400.0,3593610.0,515960.0,3596170.0
train_0072_r384_c1536,train,384,1536,0,,0,515320.0,3593610.0,517880.0,3596170.0
train_0073_r384_c1728,train,384,1728,2,"643,653",0,517240.0,3593610.0,519800.0,3596170.0
train_0074_r384_c1920,train,384,1920,3,"643,653,726",0,519160.0,3593610.0,521720.0,3596170.0
train_0075_r384_c2112,train,384,2112,1,436,0,521080.0,3593610.0,523640.0,3596170.0
train_0076_r384_c2304,train,384,2304,10,"337,338,339,340,341,397,436,437,438,440",0,523000.0,3593610.0,525560.0,3596170.0
train_0077_r384_c2496,train,384,2496,3,"341,397,440",0,524920.0,3593610.0,527480.0,3596170.0
train_0078_r384_c2688,train,384,2688,2,"343,344",0,526840.0,3593610.0,529400.0,3596170.0
train_0079_r384_c2880,train,384,2880,2,"344,398",0,528760.0,3593610.0,531320.0,3596170.0
train_0080_r384_c3072,train,384,3072,6,"361,362,363,365,367,443",0,530680.0,3593610.0,533240.0,3596170.0
train_0081_r384_c3264,train,384,3264,4,"365,367,368,744",0,532600.0,3593610.0,535160.0,3596170.0
train_0082_r384_c3456,train,384,3456,4,"372,373,374,375",0,534520.0,3593610.0,537080.0,3596170.0
train_0083_r384_c3648,train,384,3648,5,"373,374,375,378,379",0,536440.0,3593610.0,539000.0,3596170.0
train_0084_r384_c3840,train,384,3840,1,1100,0,538360.0,3593610.0,540920.0,3596170.0
train_0085_r384_c4032,train,384,4032,5,"322,392,393,749,750",0,540280.0,3593610.0,542840.0,3596170.0
train_0086_r384_c4224,train,384,4224,3,"322,393,750",0,542200.0,3593610.0,544760.0,3596170.0
train_0087_r384_c4416,train,384,4416,0,,0,544120.0,3593610.0,546680.0,3596170.0
train_0088_r384_c4608,train,384,4608,1,1153,0,546040.0,3593610.0,548600.0,3596170.0
train_0089_r384_c4800,train,384,4800,2,"127,1153",0,547960.0,3593610.0,550520.0,3596170.0
train_0090_r384_c4992,train,384,4992,1,1154,0,549880.0,3593610.0,552440.0,3596170.0
train_0091_r384_c5184,train,384,5184,0,,0,551800.0,3593610.0,554360.0,3596170.0
train_0092_r384_c5376,train,384,5376,0,,0,553720.0,3593610.0,556280.0,3596170.0
