tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0000_r0_c7354,0,0,0,0,0,0.0,0.0
test_0001_r0_c7738,0,0,0,0,0,0.0,0.0
test_0002_r0_c8122,0,0,0,0,0,0.0,0.0
test_0003_r0_c8506,1,1,0,1,1,0.0,0.23035328090190887
test_0004_r0_c8890,1,1,0,1,1,0.0,0.2170681208372116
test_0005_r0_c9274,1,1,1,0,0,0.10256240516901016,0.0
test_0006_r0_c9658,1,1,1,0,0,0.1638336032629013,0.0
test_0007_r0_c10042,0,0,0,0,0,0.0,0.0
test_0008_r0_c10426,0,0,0,0,0,0.0,0.0
test_0009_r0_c10470,0,2,0,2,0,0.0,0.1610356718301773
test_0010_r384_c7354,0,0,0,0,0,0.0,0.0
test_0011_r384_c7738,1,1,0,1,1,0.0,0.1215474084019661
test_0012_r384_c8122,3,2,1,1,2,0.1423656940460205,0.14369294047355652
test_0013_r384_c8506,2,2,0,2,2,0.0,0.1254136711359024
test_0014_r384_c8890,1,0,0,0,1,0.0,0.0
test_0015_r384_c9274,1,0,0,0,1,0.0,0.0
test_0016_r384_c9658,3,2,0,2,3,0.0,0.16843590140342712
test_0017_r384_c10042,0,0,0,0,0,0.0,0.0
test_0018_r384_c10426,1,2,1,1,0,0.2988222539424896,0.10440703481435776
test_0019_r384_c10470,1,4,1,3,0,0.27057600021362305,0.160446435213089
test_0020_r768_c7354,0,0,0,0,0,0.0,0.0
test_0021_r768_c7738,1,0,0,0,1,0.0,0.0
test_0022_r768_c8122,2,2,0,2,2,0.0,0.16167880594730377
test_0023_r768_c8506,5,0,0,0,5,0.0,0.0
test_0024_r768_c8890,2,0,0,0,2,0.0,0.0
test_0025_r768_c9274,4,0,0,0,4,0.0,0.0
test_0026_r768_c9658,1,2,0,2,1,0.0,0.15552590787410736
test_0027_r768_c10042,0,0,0,0,0,0.0,0.0
test_0028_r768_c10426,1,2,1,1,0,0.30843907594680786,0.10613718628883362
test_0029_r768_c10470,1,2,1,1,0,0.2897840738296509,0.10357990860939026
test_0030_r1152_c7354,1,1,0,1,1,0.0,0.10568426549434662
test_0031_r1152_c7738,1,0,0,0,1,0.0,0.0
test_0032_r1152_c8122,0,0,0,0,0,0.0,0.0
test_0033_r1152_c8506,0,0,0,0,0,0.0,0.0
test_0034_r1152_c8890,1,2,0,2,1,0.0,0.13871590793132782
test_0035_r1152_c9274,2,2,0,2,2,0.0,0.1397116333246231
test_0036_r1152_c9658,0,0,0,0,0,0.0,0.0
test_0037_r1152_c10042,0,0,0,0,0,0.0,0.0
test_0038_r1152_c10426,0,0,0,0,0,0.0,0.0
test_0039_r1152_c10470,0,0,0,0,0,0.0,0.0
test_0040_r1536_c7354,1,0,0,0,1,0.0,0.0
test_0041_r1536_c7738,0,0,0,0,0,0.0,0.0
