tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0000_r0_c7354,0,0,0,0,0,0.0,0.0
test_0001_r0_c7738,0,0,0,0,0,0.0,0.0
test_0002_r0_c8122,0,1,0,1,0,0.0,0.13735677301883698
test_0003_r0_c8506,1,3,1,2,0,0.20920632779598236,0.12113220989704132
test_0004_r0_c8890,1,2,0,2,1,0.0,0.19231024384498596
test_0005_r0_c9274,1,0,0,0,1,0.0,0.0
test_0006_r0_c9658,1,1,1,0,0,0.10562091320753098,0.0
test_0007_r0_c10042,0,0,0,0,0,0.0,0.0
test_0008_r0_c10426,0,0,0,0,0,0.0,0.0
test_0009_r0_c10470,0,4,0,4,0,0.0,0.25968506932258606
test_0010_r384_c7354,0,0,0,0,0,0.0,0.0
test_0011_r384_c7738,1,0,0,0,1,0.0,0.0
test_0012_r384_c8122,3,2,0,2,3,0.0,0.15186333656311035
test_0013_r384_c8506,2,5,0,5,2,0.0,0.2422029972076416
test_0014_r384_c8890,1,0,0,0,1,0.0,0.0
test_0015_r384_c9274,1,0,0,0,1,0.0,0.0
test_0016_r384_c9658,3,1,1,0,2,0.1271873414516449,0.0
test_0017_r384_c10042,0,0,0,0,0,0.0,0.0
test_0018_r384_c10426,1,2,1,1,0,0.22113226354122162,0.11677321046590805
test_0019_r384_c10470,1,8,1,7,0,0.2239246517419815,0.2628844380378723
test_0020_r768_c7354,0,0,0,0,0,0.0,0.0
test_0021_r768_c7738,1,0,0,0,1,0.0,0.0
test_0022_r768_c8122,2,3,0,3,2,0.0,0.17868967354297638
test_0023_r768_c8506,5,2,0,2,5,0.0,0.1654113382101059
test_0024_r768_c8890,2,1,0,1,2,0.0,0.20310381054878235
test_0025_r768_c9274,4,1,0,1,4,0.0,0.2115982174873352
test_0026_r768_c9658,1,0,0,0,1,0.0,0.0
test_0027_r768_c10042,0,0,0,0,0,0.0,0.0
test_0028_r768_c10426,1,2,1,1,0,0.19155026972293854,0.14038319885730743
test_0029_r768_c10470,1,3,1,2,0,0.18576176464557648,0.12316121906042099
test_0030_r1152_c7354,1,2,0,2,1,0.0,0.203103169798851
test_0031_r1152_c7738,1,0,0,0,1,0.0,0.0
test_0032_r1152_c8122,0,0,0,0,0,0.0,0.0
test_0033_r1152_c8506,0,0,0,0,0,0.0,0.0
test_0034_r1152_c8890,1,0,0,0,1,0.0,0.0
test_0035_r1152_c9274,2,0,0,0,2,0.0,0.0
test_0036_r1152_c9658,0,0,0,0,0,0.0,0.0
test_0037_r1152_c10042,0,0,0,0,0,0.0,0.0
test_0038_r1152_c10426,0,0,0,0,0,0.0,0.0
test_0039_r1152_c10470,0,0,0,0,0,0.0,0.0
test_0040_r1536_c7354,1,0,0,0,1,0.0,0.0
test_0041_r1536_c7738,0,0,0,0,0,0.0,0.0
