tile_name,row_start,col_start,left,bottom,right,top,image_path
candidate_0000_r6852_c4595,6852,4595,545910.0,3526370.0,551030.0,3531490.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0000_r6852_c4595.png
candidate_0001_r7333_c3712,7333,3712,537080.0,3521560.0,542200.0,3526680.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0001_r7333_c3712.png
candidate_0002_r5211_c458,5211,458,504540.0,3542780.0,509660.0,3547900.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0002_r5211_c458.png
candidate_0003_r9402_c3019,9402,3019,530150.0,3500870.0,535270.0,3505990.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0003_r9402_c3019.png
candidate_0004_r2569_c1199,2569,1199,511950.0,3569200.0,517070.0,3574320.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0004_r2569_c1199.png
candidate_0005_r8602_c610,8602,610,506060.0,3508870.0,511180.0,3513990.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0005_r8602_c610.png
candidate_0006_r10047_c917,10047,917,509130.0,3494420.0,514250.0,3499540.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0006_r10047_c917.png
candidate_0007_r6944_c4524,6944,4524,545200.0,3525450.0,550320.0,3530570.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0007_r6944_c4524.png
candidate_0008_r8237_c435,8237,435,504310.0,3512520.0,509430.0,3517640.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0008_r8237_c435.png
candidate_0009_r7094_c1082,7094,1082,510780.0,3523950.0,515900.0,3529070.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0009_r7094_c1082.png
candidate_0010_r6646_c3046,6646,3046,530420.0,3528430.0,535540.0,3533550.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0010_r6646_c3046.png
candidate_0011_r4540_c1506,4540,1506,515020.0,3549490.0,520140.0,3554610.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0011_r4540_c1506.png
candidate_0012_r9781_c145,9781,145,501410.0,3497080.0,506530.0,3502200.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0012_r9781_c145.png
candidate_0013_r10147_c1275,10147,1275,512710.0,3493420.0,517830.0,3498540.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0013_r10147_c1275.png
candidate_0014_r8646_c1372,8646,1372,513680.0,3508430.0,518800.0,3513550.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0014_r8646_c1372.png
candidate_0015_r4541_c1295,4541,1295,512910.0,3549480.0,518030.0,3554600.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0015_r4541_c1295.png
candidate_0016_r5225_c260,5225,260,502560.0,3542640.0,507680.0,3547760.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0016_r5225_c260.png
candidate_0017_r10041_c1102,10041,1102,510980.0,3494480.0,516100.0,3499600.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0017_r10041_c1102.png
candidate_0018_r6266_c1733,6266,1733,517290.0,3532230.0,522410.0,3537350.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0018_r6266_c1733.png
candidate_0019_r6044_c1608,6044,1608,516040.0,3534450.0,521160.0,3539570.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0019_r6044_c1608.png
candidate_0020_r4770_c1209,4770,1209,512050.0,3547190.0,517170.0,3552310.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0020_r4770_c1209.png
candidate_0021_r8699_c558,8699,558,505540.0,3507900.0,510660.0,3513020.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0021_r8699_c558.png
candidate_0022_r10305_c5282,10305,5282,552780.0,3491840.0,557900.0,3496960.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0022_r10305_c5282.png
