tile_name,split,row_start,col_start,tell_count,left,bottom,right,top,image_path
train_0014_r0_c5376,train,0,5376,0,553720.0,3594890.0,558840.0,3600010.0,dataset/images/train/train_0014_r0_c5376.png
train_0015_r0_c5549,train,0,5549,0,555450.0,3594890.0,560570.0,3600010.0,dataset/images/train/train_0015_r0_c5549.png
train_0030_r384_c5376,train,384,5376,0,553720.0,3591050.0,558840.0,3596170.0,dataset/images/train/train_0030_r384_c5376.png
train_0031_r384_c5549,train,384,5549,0,555450.0,3591050.0,560570.0,3596170.0,dataset/images/train/train_0031_r384_c5549.png
train_0042_r768_c3840,train,768,3840,0,538360.0,3587210.0,543480.0,3592330.0,dataset/images/train/train_0042_r768_c3840.png
train_0114_r2688_c1152,train,2688,1152,0,511480.0,3568010.0,516600.0,3573130.0,dataset/images/train/train_0114_r2688_c1152.png
train_0143_r3456_c0,train,3456,0,0,499960.0,3560330.0,505080.0,3565450.0,dataset/images/train/train_0143_r3456_c0.png
train_0158_r3840_c0,train,3840,0,0,499960.0,3556490.0,505080.0,3561610.0,dataset/images/train/train_0158_r3840_c0.png
train_0159_r3840_c384,train,3840,384,0,503800.0,3556490.0,508920.0,3561610.0,dataset/images/train/train_0159_r3840_c384.png
train_0172_r3840_c5376,train,3840,5376,0,553720.0,3556490.0,558840.0,3561610.0,dataset/images/train/train_0172_r3840_c5376.png
train_0173_r3840_c5549,train,3840,5549,0,555450.0,3556490.0,560570.0,3561610.0,dataset/images/train/train_0173_r3840_c5549.png
train_0175_r4224_c384,train,4224,384,0,503800.0,3552650.0,508920.0,3557770.0,dataset/images/train/train_0175_r4224_c384.png
train_0194_r4608_c1536,train,4608,1536,0,515320.0,3548810.0,520440.0,3553930.0,dataset/images/train/train_0194_r4608_c1536.png
train_0206_r4992_c0,train,4992,0,0,499960.0,3544970.0,505080.0,3550090.0,dataset/images/train/train_0206_r4992_c0.png
train_0207_r4992_c384,train,4992,384,0,503800.0,3544970.0,508920.0,3550090.0,dataset/images/train/train_0207_r4992_c384.png
train_0210_r4992_c1536,train,4992,1536,0,515320.0,3544970.0,520440.0,3550090.0,dataset/images/train/train_0210_r4992_c1536.png
train_0222_r5376_c0,train,5376,0,0,499960.0,3541130.0,505080.0,3546250.0,dataset/images/train/train_0222_r5376_c0.png
train_0223_r5376_c768,train,5376,768,0,507640.0,3541130.0,512760.0,3546250.0,dataset/images/train/train_0223_r5376_c768.png
train_0253_r6144_c0,train,6144,0,0,499960.0,3533450.0,505080.0,3538570.0,dataset/images/train/train_0253_r6144_c0.png
train_0254_r6144_c384,train,6144,384,0,503800.0,3533450.0,508920.0,3538570.0,dataset/images/train/train_0254_r6144_c384.png
train_0255_r6144_c768,train,6144,768,0,507640.0,3533450.0,512760.0,3538570.0,dataset/images/train/train_0255_r6144_c768.png
train_0257_r6144_c1536,train,6144,1536,0,515320.0,3533450.0,520440.0,3538570.0,dataset/images/train/train_0257_r6144_c1536.png
train_0258_r6144_c1920,train,6144,1920,0,519160.0,3533450.0,524280.0,3538570.0,dataset/images/train/train_0258_r6144_c1920.png
train_0263_r6144_c3840,train,6144,3840,0,538360.0,3533450.0,543480.0,3538570.0,dataset/images/train/train_0263_r6144_c3840.png
train_0274_r6528_c2304,train,6528,2304,0,523000.0,3529610.0,528120.0,3534730.0,dataset/images/train/train_0274_r6528_c2304.png
train_0275_r6528_c2688,train,6528,2688,0,526840.0,3529610.0,531960.0,3534730.0,dataset/images/train/train_0275_r6528_c2688.png
train_0285_r6912_c768,train,6912,768,0,507640.0,3525770.0,512760.0,3530890.0,dataset/images/train/train_0285_r6912_c768.png
train_0291_r6912_c3072,train,6912,3072,0,530680.0,3525770.0,535800.0,3530890.0,dataset/images/train/train_0291_r6912_c3072.png
train_0292_r6912_c3456,train,6912,3456,0,534520.0,3525770.0,539640.0,3530890.0,dataset/images/train/train_0292_r6912_c3456.png
train_0299_r7296_c0,train,7296,0,0,499960.0,3521930.0,505080.0,3527050.0,dataset/images/train/train_0299_r7296_c0.png
train_0308_r7296_c3456,train,7296,3456,0,534520.0,3521930.0,539640.0,3527050.0,dataset/images/train/train_0308_r7296_c3456.png
train_0309_r7296_c3840,train,7296,3840,0,538360.0,3521930.0,543480.0,3527050.0,dataset/images/train/train_0309_r7296_c3840.png
train_0313_r7296_c5376,train,7296,5376,0,553720.0,3521930.0,558840.0,3527050.0,dataset/images/train/train_0313_r7296_c5376.png
train_0314_r7296_c5549,train,7296,5549,0,555450.0,3521930.0,560570.0,3527050.0,dataset/images/train/train_0314_r7296_c5549.png
train_0316_r7680_c384,train,7680,384,0,503800.0,3518090.0,508920.0,3523210.0,dataset/images/train/train_0316_r7680_c384.png
train_0317_r7680_c768,train,7680,768,0,507640.0,3518090.0,512760.0,3523210.0,dataset/images/train/train_0317_r7680_c768.png
train_0329_r7680_c5376,train,7680,5376,0,553720.0,3518090.0,558840.0,3523210.0,dataset/images/train/train_0329_r7680_c5376.png
train_0330_r7680_c5549,train,7680,5549,0,555450.0,3518090.0,560570.0,3523210.0,dataset/images/train/train_0330_r7680_c5549.png
train_0332_r8064_c384,train,8064,384,0,503800.0,3514250.0,508920.0,3519370.0,dataset/images/train/train_0332_r8064_c384.png
train_0333_r8064_c768,train,8064,768,0,507640.0,3514250.0,512760.0,3519370.0,dataset/images/train/train_0333_r8064_c768.png
train_0344_r8064_c4992,train,8064,4992,0,549880.0,3514250.0,555000.0,3519370.0,dataset/images/train/train_0344_r8064_c4992.png
train_0348_r8448_c384,train,8448,384,0,503800.0,3510410.0,508920.0,3515530.0,dataset/images/train/train_0348_r8448_c384.png
train_0349_r8448_c768,train,8448,768,0,507640.0,3510410.0,512760.0,3515530.0,dataset/images/train/train_0349_r8448_c768.png
train_0350_r8448_c1152,train,8448,1152,0,511480.0,3510410.0,516600.0,3515530.0,dataset/images/train/train_0350_r8448_c1152.png
train_0351_r8448_c1536,train,8448,1536,0,515320.0,3510410.0,520440.0,3515530.0,dataset/images/train/train_0351_r8448_c1536.png
train_0364_r8832_c384,train,8832,384,0,503800.0,3506570.0,508920.0,3511690.0,dataset/images/train/train_0364_r8832_c384.png
train_0366_r8832_c1536,train,8832,1536,0,515320.0,3506570.0,520440.0,3511690.0,dataset/images/train/train_0366_r8832_c1536.png
train_0376_r8832_c5376,train,8832,5376,0,553720.0,3506570.0,558840.0,3511690.0,dataset/images/train/train_0376_r8832_c5376.png
train_0394_r9600_c0,train,9600,0,0,499960.0,3498890.0,505080.0,3504010.0,dataset/images/train/train_0394_r9600_c0.png
train_0395_r9600_c768,train,9600,768,0,507640.0,3498890.0,512760.0,3504010.0,dataset/images/train/train_0395_r9600_c768.png
train_0409_r9984_c0,train,9984,0,0,499960.0,3495050.0,505080.0,3500170.0,dataset/images/train/train_0409_r9984_c0.png
train_0411_r9984_c768,train,9984,768,0,507640.0,3495050.0,512760.0,3500170.0,dataset/images/train/train_0411_r9984_c768.png
train_0412_r9984_c1152,train,9984,1152,0,511480.0,3495050.0,516600.0,3500170.0,dataset/images/train/train_0412_r9984_c1152.png
train_0413_r9984_c1536,train,9984,1536,0,515320.0,3495050.0,520440.0,3500170.0,dataset/images/train/train_0413_r9984_c1536.png
train_0425_r10368_c0,train,10368,0,0,499960.0,3491210.0,505080.0,3496330.0,dataset/images/train/train_0425_r10368_c0.png
