rank,tile_name,max_confidence,row_start,col_start,review_image
1,candidate_0219_r3357_c749,0.3818018436431885,3357,749,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/01_conf_0.382_candidate_0219_r3357_c749.png
2,candidate_0118_r3231_c5265,0.3752389550209045,3231,5265,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/02_conf_0.375_candidate_0118_r3231_c5265.png
3,candidate_0042_r3440_c838,0.3120306730270386,3440,838,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/03_conf_0.312_candidate_0042_r3440_c838.png
4,candidate_0221_r7315_c5266,0.2927648723125458,7315,5266,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/04_conf_0.293_candidate_0221_r7315_c5266.png
5,candidate_0119_r7039_c5290,0.2483657300472259,7039,5290,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/05_conf_0.248_candidate_0119_r7039_c5290.png
6,candidate_0080_r3894_c5090,0.2416360676288604,3894,5090,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/06_conf_0.242_candidate_0080_r3894_c5090.png
7,candidate_0151_r470_c5279,0.2372993975877761,470,5279,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/07_conf_0.237_candidate_0151_r470_c5279.png
8,candidate_0382_r10276_c5518,0.2355707436800003,10276,5518,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/08_conf_0.236_candidate_0382_r10276_c5518.png
9,candidate_0057_r9868_c130,0.2325515747070312,9868,130,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/09_conf_0.233_candidate_0057_r9868_c130.png
10,candidate_0329_r6554_c2385,0.2231252789497375,6554,2385,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/10_conf_0.223_candidate_0329_r6554_c2385.png
11,candidate_0292_r6569_c2691,0.2229340821504593,6569,2691,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/11_conf_0.223_candidate_0292_r6569_c2691.png
12,candidate_0346_r178_c5279,0.2201485186815261,178,5279,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/12_conf_0.220_candidate_0346_r178_c5279.png
13,candidate_0258_r4494_c1501,0.2137421518564224,4494,1501,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/13_conf_0.214_candidate_0258_r4494_c1501.png
14,candidate_0052_r3339_c1447,0.2114831209182739,3339,1447,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/14_conf_0.211_candidate_0052_r3339_c1447.png
15,candidate_0217_r9988_c1102,0.2086443901062011,9988,1102,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/15_conf_0.209_candidate_0217_r9988_c1102.png
16,candidate_0263_r7193_c5167,0.2040860205888748,7193,5167,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/16_conf_0.204_candidate_0263_r7193_c5167.png
17,candidate_0063_r4293_c1442,0.2029373198747635,4293,1442,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/17_conf_0.203_candidate_0063_r4293_c1442.png
18,candidate_0302_r7157_c5167,0.1989616006612777,7157,5167,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/18_conf_0.199_candidate_0302_r7157_c5167.png
19,candidate_0162_r3214_c1451,0.1982942968606948,3214,1451,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/19_conf_0.198_candidate_0162_r3214_c1451.png
20,candidate_0133_r8078_c3766,0.1965262144804,8078,3766,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/20_conf_0.197_candidate_0133_r8078_c3766.png
21,candidate_0325_r10335_c5302,0.1952291876077652,10335,5302,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/21_conf_0.195_candidate_0325_r10335_c5302.png
22,candidate_0028_r4745_c1497,0.1930674910545349,4745,1497,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/22_conf_0.193_candidate_0028_r4745_c1497.png
23,candidate_0050_r8139_c633,0.1930466294288635,8139,633,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/23_conf_0.193_candidate_0050_r8139_c633.png
24,candidate_0064_r4756_c1678,0.1927418112754821,4756,1678,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/24_conf_0.193_candidate_0064_r4756_c1678.png
25,candidate_0030_r7300_c5282,0.1894137412309646,7300,5282,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/25_conf_0.189_candidate_0030_r7300_c5282.png
26,candidate_0297_r6449_c2933,0.1884151846170425,6449,2933,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/26_conf_0.188_candidate_0297_r6449_c2933.png
27,candidate_0370_r7172_c5248,0.1882424354553222,7172,5248,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/hard_negative_review/27_conf_0.188_candidate_0370_r7172_c5248.png
