tile_name,row_start,col_start,image_path,n_predictions_conf_005,n_predictions_conf_010,n_predictions_conf_025,n_predictions_conf_050,max_confidence
candidate_0219_r3357_c749,3357,749,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0219_r3357_c749.png,9,4,1,0,0.3818018436431885
candidate_0118_r3231_c5265,3231,5265,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0118_r3231_c5265.png,4,3,1,0,0.37523895502090454
candidate_0042_r3440_c838,3440,838,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0042_r3440_c838.png,4,2,1,0,0.3120306730270386
candidate_0221_r7315_c5266,7315,5266,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0221_r7315_c5266.png,2,1,1,0,0.2927648723125458
candidate_0119_r7039_c5290,7039,5290,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0119_r7039_c5290.png,4,2,0,0,0.24836573004722595
candidate_0080_r3894_c5090,3894,5090,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0080_r3894_c5090.png,1,1,0,0,0.24163606762886047
candidate_0151_r470_c5279,470,5279,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0151_r470_c5279.png,4,2,0,0,0.23729939758777618
candidate_0382_r10276_c5518,10276,5518,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0382_r10276_c5518.png,6,3,0,0,0.2355707436800003
candidate_0057_r9868_c130,9868,130,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0057_r9868_c130.png,3,3,0,0,0.23255157470703125
candidate_0329_r6554_c2385,6554,2385,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0329_r6554_c2385.png,1,1,0,0,0.22312527894973755
candidate_0292_r6569_c2691,6569,2691,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0292_r6569_c2691.png,2,1,0,0,0.2229340821504593
candidate_0346_r178_c5279,178,5279,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0346_r178_c5279.png,2,2,0,0,0.22014851868152618
candidate_0258_r4494_c1501,4494,1501,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0258_r4494_c1501.png,3,1,0,0,0.21374215185642242
candidate_0052_r3339_c1447,3339,1447,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0052_r3339_c1447.png,26,7,0,0,0.21148312091827393
candidate_0217_r9988_c1102,9988,1102,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0217_r9988_c1102.png,3,3,0,0,0.20864439010620117
candidate_0263_r7193_c5167,7193,5167,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0263_r7193_c5167.png,3,2,0,0,0.20408602058887482
candidate_0063_r4293_c1442,4293,1442,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0063_r4293_c1442.png,5,2,0,0,0.2029373198747635
candidate_0302_r7157_c5167,7157,5167,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0302_r7157_c5167.png,4,2,0,0,0.19896160066127777
candidate_0162_r3214_c1451,3214,1451,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0162_r3214_c1451.png,35,9,0,0,0.19829429686069489
candidate_0133_r8078_c3766,8078,3766,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0133_r8078_c3766.png,8,3,0,0,0.19652621448040009
candidate_0325_r10335_c5302,10335,5302,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0325_r10335_c5302.png,3,1,0,0,0.1952291876077652
candidate_0028_r4745_c1497,4745,1497,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0028_r4745_c1497.png,3,1,0,0,0.1930674910545349
candidate_0050_r8139_c633,8139,633,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0050_r8139_c633.png,3,2,0,0,0.19304662942886353
candidate_0064_r4756_c1678,4756,1678,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0064_r4756_c1678.png,7,2,0,0,0.19274181127548218
candidate_0030_r7300_c5282,7300,5282,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0030_r7300_c5282.png,2,1,0,0,0.18941374123096466
candidate_0297_r6449_c2933,6449,2933,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0297_r6449_c2933.png,6,3,0,0,0.18841518461704254
candidate_0370_r7172_c5248,7172,5248,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0370_r7172_c5248.png,4,2,0,0,0.18824243545532227
candidate_0277_r2728_c1188,2728,1188,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0277_r2728_c1188.png,21,5,0,0,0.18790864944458008
candidate_0022_r10305_c5282,10305,5282,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0022_r10305_c5282.png,3,1,0,0,0.18752066791057587
candidate_0124_r10039_c5535,10039,5535,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0124_r10039_c5535.png,2,2,0,0,0.18719027936458588
candidate_0116_r6295_c2870,6295,2870,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0116_r6295_c2870.png,6,2,0,0,0.18646180629730225
candidate_0004_r2569_c1199,2569,1199,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0004_r2569_c1199.png,21,4,0,0,0.1853809654712677
candidate_0190_r100_c5156,100,5156,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0190_r100_c5156.png,2,1,0,0,0.1842014044523239
candidate_0011_r4540_c1506,4540,1506,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0011_r4540_c1506.png,4,1,0,0,0.18278288841247559
candidate_0223_r4167_c1414,4167,1414,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0223_r4167_c1414.png,6,3,0,0,0.17589694261550903
