final_rank,selection_rank,tile_name,row_start,col_start,image_path,n_predictions_conf_005,n_predictions_conf_010,n_predictions_conf_025,n_predictions_conf_050,max_confidence,max_overlap_with_selected,selection_method,qc_decision,qc_reason
1,1.0,candidate_0219_r3357_c749,3357,749,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0219_r3357_c749.png,9,4,1,0,0.3818018436431885,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
2,2.0,candidate_0118_r3231_c5265,3231,5265,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0118_r3231_c5265.png,4,3,1,0,0.3752389550209045,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
3,3.0,candidate_0221_r7315_c5266,7315,5266,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0221_r7315_c5266.png,2,1,1,0,0.2927648723125458,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
4,5.0,candidate_0151_r470_c5279,470,5279,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0151_r470_c5279.png,4,2,0,0,0.2372993975877761,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
5,6.0,candidate_0382_r10276_c5518,10276,5518,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0382_r10276_c5518.png,6,3,0,0,0.2355707436800003,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
6,7.0,candidate_0057_r9868_c130,9868,130,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0057_r9868_c130.png,3,3,0,0,0.2325515747070312,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
7,8.0,candidate_0329_r6554_c2385,6554,2385,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0329_r6554_c2385.png,1,1,0,0,0.2231252789497375,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
8,9.0,candidate_0258_r4494_c1501,4494,1501,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0258_r4494_c1501.png,3,1,0,0,0.2137421518564224,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
9,11.0,candidate_0217_r9988_c1102,9988,1102,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0217_r9988_c1102.png,3,3,0,0,0.2086443901062011,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
10,,candidate_0162_r3214_c1451,3214,1451,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0162_r3214_c1451.png,35,9,0,0,0.1982942968606948,0.0,,replacement_pending_qc,Automatically selected replacement after QC exclusion.
11,12.0,candidate_0133_r8078_c3766,8078,3766,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0133_r8078_c3766.png,8,3,0,0,0.1965262144804,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
12,13.0,candidate_0050_r8139_c633,8139,633,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0050_r8139_c633.png,3,2,0,0,0.1930466294288635,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
13,14.0,candidate_0297_r6449_c2933,6449,2933,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0297_r6449_c2933.png,6,3,0,0,0.1884151846170425,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
14,,candidate_0004_r2569_c1199,2569,1199,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0004_r2569_c1199.png,21,4,0,0,0.1853809654712677,0.0,,replacement_pending_qc,Automatically selected replacement after QC exclusion.
15,16.0,candidate_0190_r100_c5156,100,5156,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0190_r100_c5156.png,2,1,0,0,0.1842014044523239,0.2107162475585937,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
16,17.0,candidate_0046_r4399_c3220,4399,3220,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0046_r4399_c3220.png,9,2,0,0,0.1729470491409301,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
17,18.0,candidate_0272_r4_c5538,4,5538,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0272_r4_c5538.png,2,1,0,0,0.1661970466375351,0.206298828125,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
18,19.0,candidate_0399_r8743_c1678,8743,1678,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0399_r8743_c1678.png,2,1,0,0,0.1659765988588333,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
19,22.0,candidate_0216_r5227_c1976,5227,1976,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0216_r5227_c1976.png,2,2,0,0,0.158827468752861,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
20,23.0,candidate_0203_r9787_c5295,9787,5295,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0203_r9787_c5295.png,3,2,0,0,0.1517191082239151,0.0253562927246093,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
21,24.0,candidate_0045_r6102_c5223,6102,5223,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0045_r6102_c5223.png,9,2,0,0,0.1484008133411407,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
22,,candidate_0212_r10373_c843,10373,843,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0212_r10373_c843.png,3,1,0,0,0.1482301652431488,0.12257003784179688,,replacement_pending_qc,Automatically selected replacement after QC exclusion.
23,25.0,candidate_0240_r5240_c1499,5240,1499,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0240_r5240_c1499.png,3,1,0,0,0.1474494636058807,0.0666236877441406,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
24,26.0,candidate_0334_r10434_c3698,10434,3698,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0334_r10434_c3698.png,2,1,0,0,0.1381848454475402,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
25,28.0,candidate_0001_r7333_c3712,7333,3712,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0001_r7333_c3712.png,3,2,0,0,0.1372486054897308,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
26,29.0,candidate_0147_r7759_c408,7759,408,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0147_r7759_c408.png,4,1,0,0,0.1349322944879531,0.1445159912109375,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
27,30.0,candidate_0306_r9600_c827,9600,827,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0306_r9600_c827.png,2,1,0,0,0.1328458189964294,0.1121063232421875,Model 6 confidence ranking with <=25% pairwise tile-area overlap,keep,Unambiguous non-target landscape feature.
28,,candidate_0003_r9402_c3019,9402,3019,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0003_r9402_c3019.png,7,1,0,0,0.1198087781667709,0.0,,replacement_pending_qc,Automatically selected replacement after QC exclusion.
29,,candidate_0085_r10013_c3986,10013,3986,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0085_r10013_c3986.png,2,1,0,0,0.1181352436542511,0.0777587890625,,replacement_pending_qc,Automatically selected replacement after QC exclusion.
30,,candidate_0242_r6225_c3644,6225,3644,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0242_r6225_c3644.png,3,1,0,0,0.1157240644097328,0.0,,replacement_pending_qc,Automatically selected replacement after QC exclusion.
