selection_rank,tile_name,row_start,col_start,image_path,n_predictions_conf_005,n_predictions_conf_010,n_predictions_conf_025,n_predictions_conf_050,max_confidence,max_overlap_with_selected,selection_method
1,candidate_0219_r3357_c749,3357,749,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0219_r3357_c749.png,9,4,1,0,0.3818018436431885,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
2,candidate_0118_r3231_c5265,3231,5265,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0118_r3231_c5265.png,4,3,1,0,0.3752389550209045,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
3,candidate_0221_r7315_c5266,7315,5266,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0221_r7315_c5266.png,2,1,1,0,0.2927648723125458,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
4,candidate_0080_r3894_c5090,3894,5090,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0080_r3894_c5090.png,1,1,0,0,0.2416360676288604,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
5,candidate_0151_r470_c5279,470,5279,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0151_r470_c5279.png,4,2,0,0,0.2372993975877761,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
6,candidate_0382_r10276_c5518,10276,5518,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0382_r10276_c5518.png,6,3,0,0,0.2355707436800003,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
7,candidate_0057_r9868_c130,9868,130,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0057_r9868_c130.png,3,3,0,0,0.2325515747070312,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
8,candidate_0329_r6554_c2385,6554,2385,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0329_r6554_c2385.png,1,1,0,0,0.2231252789497375,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
9,candidate_0258_r4494_c1501,4494,1501,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0258_r4494_c1501.png,3,1,0,0,0.2137421518564224,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
10,candidate_0052_r3339_c1447,3339,1447,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0052_r3339_c1447.png,26,7,0,0,0.2114831209182739,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
11,candidate_0217_r9988_c1102,9988,1102,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0217_r9988_c1102.png,3,3,0,0,0.2086443901062011,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
12,candidate_0133_r8078_c3766,8078,3766,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0133_r8078_c3766.png,8,3,0,0,0.1965262144804,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
13,candidate_0050_r8139_c633,8139,633,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0050_r8139_c633.png,3,2,0,0,0.1930466294288635,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
14,candidate_0297_r6449_c2933,6449,2933,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0297_r6449_c2933.png,6,3,0,0,0.1884151846170425,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
15,candidate_0277_r2728_c1188,2728,1188,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0277_r2728_c1188.png,21,5,0,0,0.18790864944458,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
16,candidate_0190_r100_c5156,100,5156,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0190_r100_c5156.png,2,1,0,0,0.1842014044523239,0.21071624755859375,Model 6 confidence ranking with <=25% pairwise tile-area overlap
17,candidate_0046_r4399_c3220,4399,3220,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0046_r4399_c3220.png,9,2,0,0,0.1729470491409301,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
18,candidate_0272_r4_c5538,4,5538,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0272_r4_c5538.png,2,1,0,0,0.1661970466375351,0.206298828125,Model 6 confidence ranking with <=25% pairwise tile-area overlap
19,candidate_0399_r8743_c1678,8743,1678,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0399_r8743_c1678.png,2,1,0,0,0.1659765988588333,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
20,candidate_0287_r10467_c715,10467,715,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0287_r10467_c715.png,2,1,0,0,0.1625162810087204,0.015735626220703125,Model 6 confidence ranking with <=25% pairwise tile-area overlap
21,candidate_0180_r3616_c3587,3616,3587,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0180_r3616_c3587.png,19,7,0,0,0.1594037562608719,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
22,candidate_0216_r5227_c1976,5227,1976,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0216_r5227_c1976.png,2,2,0,0,0.158827468752861,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
23,candidate_0203_r9787_c5295,9787,5295,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0203_r9787_c5295.png,3,2,0,0,0.1517191082239151,0.025356292724609375,Model 6 confidence ranking with <=25% pairwise tile-area overlap
24,candidate_0045_r6102_c5223,6102,5223,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0045_r6102_c5223.png,9,2,0,0,0.1484008133411407,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
25,candidate_0240_r5240_c1499,5240,1499,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0240_r5240_c1499.png,3,1,0,0,0.1474494636058807,0.06662368774414062,Model 6 confidence ranking with <=25% pairwise tile-area overlap
26,candidate_0334_r10434_c3698,10434,3698,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0334_r10434_c3698.png,2,1,0,0,0.1381848454475402,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
27,candidate_0225_r10443_c1402,10443,1402,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0225_r10443_c1402.png,8,3,0,0,0.1380674391984939,0.0460968017578125,Model 6 confidence ranking with <=25% pairwise tile-area overlap
28,candidate_0001_r7333_c3712,7333,3712,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0001_r7333_c3712.png,3,2,0,0,0.1372486054897308,0.0,Model 6 confidence ranking with <=25% pairwise tile-area overlap
29,candidate_0147_r7759_c408,7759,408,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0147_r7759_c408.png,4,1,0,0,0.1349322944879531,0.1445159912109375,Model 6 confidence ranking with <=25% pairwise tile-area overlap
30,candidate_0306_r9600_c827,9600,827,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0306_r9600_c827.png,2,1,0,0,0.1328458189964294,0.1121063232421875,Model 6 confidence ranking with <=25% pairwise tile-area overlap
