tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0000_r0_c7353,1,3,0,3,1,0.0,0.11499208211898804
test_0001_r0_c7737,0,4,0,4,0,0.0,0.1682358831167221
test_0002_r0_c8121,1,4,1,3,0,0.28799009323120117,0.3197837769985199
test_0003_r0_c8505,3,4,1,3,2,0.24835048615932465,0.2804223597049713
test_0004_r0_c8889,1,2,0,2,1,0.0,0.5090873837471008
test_0005_r0_c9273,1,2,1,1,0,0.38559433817863464,0.12352314591407776
test_0006_r0_c9657,1,2,1,1,0,0.38217049837112427,0.104062519967556
test_0007_r0_c10041,0,1,0,1,0,0.0,0.16466161608695984
test_0008_r0_c10425,0,2,0,2,0,0.0,0.17615394294261932
test_0009_r0_c10470,0,3,0,3,0,0.0,0.3714558780193329
test_0010_r384_c7353,0,2,0,2,0,0.0,0.12009070813655853
test_0011_r384_c7737,0,6,0,6,0,0.0,0.11411045491695404
test_0012_r384_c8121,3,2,1,1,2,0.17504313588142395,0.13034702837467194
test_0013_r384_c8505,1,3,1,2,0,0.3130342960357666,0.16264845430850983
test_0014_r384_c8889,2,1,0,1,2,0.0,0.32058465480804443
test_0015_r384_c9273,1,2,1,1,0,0.4512070119380951,0.19052134454250336
test_0016_r384_c9657,1,3,1,2,0,0.4019375145435333,0.12335851788520813
test_0017_r384_c10041,0,0,0,0,0,0.0,0.0
test_0018_r384_c10425,1,3,1,2,0,0.4080650508403778,0.14277926087379456
test_0019_r384_c10470,1,2,1,1,0,0.38177117705345154,0.377401739358902
test_0020_r768_c7353,0,1,0,1,0,0.0,0.24087241291999817
test_0021_r768_c7737,0,0,0,0,0,0.0,0.0
test_0022_r768_c8121,1,2,1,1,0,0.6981815695762634,0.2052292376756668
test_0023_r768_c8505,0,1,0,1,0,0.0,0.1977609395980835
test_0024_r768_c8889,1,0,0,0,1,0.0,0.0
test_0025_r768_c9273,1,2,0,2,1,0.0,0.15160861611366272
test_0026_r768_c9657,0,1,0,1,0,0.0,0.13058792054653168
test_0027_r768_c10041,0,0,0,0,0,0.0,0.0
test_0028_r768_c10425,1,2,1,1,0,0.38722068071365356,0.11332952976226807
test_0029_r768_c10470,1,1,1,0,0,0.3711731433868408,0.0
test_0030_r1152_c7353,0,2,0,2,0,0.0,0.25417932868003845
test_0031_r1152_c7737,0,0,0,0,0,0.0,0.0
test_0032_r1152_c8121,0,1,0,1,0,0.0,0.47326216101646423
test_0033_r1152_c8505,1,1,0,1,1,0.0,0.45434707403182983
test_0034_r1152_c8889,0,0,0,0,0,0.0,0.0
test_0035_r1152_c9273,0,2,0,2,0,0.0,0.146611288189888
test_0036_r1152_c9657,0,0,0,0,0,0.0,0.0
test_0037_r1152_c10041,0,0,0,0,0,0.0,0.0
test_0038_r1152_c10425,0,0,0,0,0,0.0,0.0
test_0039_r1152_c10470,0,0,0,0,0,0.0,0.0
test_0040_r1536_c7353,0,0,0,0,0,0.0,0.0
test_0041_r1536_c7737,0,0,0,0,0,0.0,0.0
test_0042_r1536_c8121,0,3,0,3,0,0.0,0.5460671186447144
test_0043_r1536_c8505,1,3,0,3,1,0.0,0.5091776847839355
test_0044_r1536_c8889,0,1,0,1,0,0.0,0.21981960535049438
