polygon_id,split,covered_by_tile
2,train,True
3,train,True
4,train,True
6,train,True
7,train,True
10,train,True
11,train,True
12,train,True
13,train,True
14,train,True
16,train,True
17,train,True
19,train,True
21,train,True
22,train,True
23,train,True
24,train,True
26,train,True
27,train,True
29,train,True
30,train,True
31,train,True
32,train,True
33,train,True
34,train,True
35,train,True
37,train,True
38,train,True
39,train,True
40,train,True
41,train,True
42,train,True
44,train,True
46,train,True
47,train,True
48,train,True
49,train,True
50,train,True
51,train,True
53,train,True
54,train,True
55,train,True
56,train,True
58,train,True
59,train,True
60,train,True
61,train,True
62,train,True
63,train,True
64,train,True
66,train,True
67,train,True
69,train,True
70,train,True
71,train,True
72,train,True
73,train,True
74,train,True
76,train,True
77,train,True
78,train,True
79,train,True
80,train,True
81,train,True
84,train,True
85,train,True
89,train,True
91,train,True
92,train,True
94,train,True
95,train,True
96,train,True
97,train,True
98,train,True
99,train,True
100,train,True
101,train,True
102,train,True
104,train,True
105,train,True
106,train,True
108,train,True
109,train,True
110,train,True
111,train,True
112,train,True
113,train,True
114,train,True
115,train,True
116,train,True
117,train,True
118,train,True
120,train,True
122,train,True
124,train,True
126,train,True
127,train,True
129,train,True
130,train,True
131,train,True
132,train,True
133,train,True
134,train,True
136,train,True
137,train,True
138,train,True
139,train,True
140,train,True
141,train,True
142,train,True
143,train,True
144,train,True
145,train,True
148,train,True
151,train,True
152,train,True
155,train,True
156,train,True
158,train,True
159,train,True
160,train,True
162,train,True
167,train,True
168,train,True
169,train,True
170,train,True
171,train,True
172,train,True
173,train,True
174,train,True
175,train,True
176,train,True
177,train,True
179,train,True
180,train,True
181,train,True
184,train,True
186,train,True
187,train,True
189,train,True
191,train,True
192,train,True
193,train,True
194,train,True
196,train,True
198,train,True
199,train,True
200,train,True
201,train,True
203,train,True
205,train,True
206,train,True
207,train,True
208,train,True
209,train,True
210,train,True
212,train,True
213,train,True
214,train,True
215,train,True
216,train,True
217,train,True
219,train,True
222,train,True
223,train,True
224,train,True
225,train,True
226,train,True
227,train,True
228,train,True
229,train,True
231,train,True
232,train,True
233,train,True
234,train,True
236,train,True
237,train,True
238,train,True
239,train,True
240,train,True
244,train,True
245,train,True
246,train,True
248,train,True
249,train,True
251,train,True
252,train,True
253,train,True
254,train,True
255,train,True
257,train,True
258,train,True
259,train,True
260,train,True
262,train,True
263,train,True
264,train,True
265,train,True
266,train,True
267,train,True
268,train,True
269,train,True
270,train,True
272,train,True
273,train,True
274,train,True
275,train,True
276,train,True
277,train,True
278,train,True
280,train,True
281,train,True
282,train,True
283,train,True
285,train,True
286,train,True
288,train,True
289,train,True
291,train,True
293,train,True
294,train,True
295,train,True
296,train,True
297,train,True
298,train,True
299,train,True
301,train,True
302,train,True
303,train,True
307,train,True
308,train,True
309,train,True
310,train,True
312,train,True
313,train,True
315,train,True
316,train,True
317,train,True
318,train,True
319,train,True
320,train,True
321,train,True
322,train,True
323,train,True
324,train,True
325,train,True
326,train,True
327,train,True
329,train,True
332,train,True
333,train,True
334,train,True
335,train,True
337,train,True
338,train,True
339,train,True
341,train,True
342,train,True
343,train,True
344,train,True
345,train,True
346,train,True
349,train,True
350,train,True
351,train,True
354,train,True
355,train,True
357,train,True
358,train,True
359,train,True
360,train,True
361,train,True
364,train,True
365,train,True
366,train,True
368,train,True
369,train,True
370,train,True
371,train,True
372,train,True
373,train,True
374,train,True
375,train,True
376,train,True
377,train,True
378,train,True
379,train,True
380,train,True
381,train,True
383,train,True
385,train,True
387,train,True
389,train,True
390,train,True
392,train,True
395,train,True
398,train,True
400,train,True
402,train,True
406,train,True
407,train,True
410,train,True
411,train,True
412,train,True
413,train,True
415,train,True
416,train,True
417,train,True
419,train,True
420,train,True
422,train,True
425,train,True
426,train,True
428,train,True
429,train,True
430,train,True
433,train,True
435,train,True
436,train,True
437,train,True
438,train,True
439,train,True
440,train,True
444,train,True
446,train,True
447,train,True
448,train,True
450,train,True
451,train,True
452,train,True
453,train,True
455,train,True
456,train,True
457,train,True
458,train,True
459,train,True
460,train,True
461,train,True
462,train,True
463,train,True
464,train,True
465,train,True
466,train,True
467,train,True
469,train,True
471,train,True
472,train,True
473,train,True
476,train,True
477,train,True
479,train,True
480,train,True
481,train,True
482,train,True
485,train,True
488,train,True
489,train,True
491,train,True
492,train,True
493,train,True
495,train,True
497,train,True
498,train,True
499,train,True
500,train,True
501,train,True
502,train,True
503,train,True
504,train,True
505,train,True
506,train,True
508,train,True
509,train,True
510,train,True
512,train,True
514,train,True
516,train,True
517,train,True
518,train,True
519,train,True
520,train,True
521,train,True
522,train,True
523,train,True
524,train,True
528,train,True
529,train,True
530,train,True
531,train,True
535,train,True
536,train,True
537,train,True
538,train,True
539,train,True
541,train,True
543,train,True
544,train,True
545,train,True
547,train,True
553,train,True
554,train,True
558,train,True
559,train,True
561,train,True
565,train,True
567,train,True
568,train,True
570,train,True
573,train,True
574,train,True
577,train,True
579,train,True
581,train,True
583,train,True
584,train,True
585,train,True
586,train,True
591,train,True
594,train,True
595,train,True
596,train,True
597,train,True
598,train,True
599,train,True
603,train,True
604,train,True
605,train,True
607,train,True
611,train,True
612,train,True
615,train,True
619,train,True
620,train,True
622,train,True
624,train,True
625,train,True
628,train,True
629,train,True
630,train,True
633,train,True
634,train,True
638,train,True
640,train,True
641,train,True
643,train,True
645,train,True
650,train,True
651,train,True
654,train,True
655,train,True
656,train,True
657,train,True
659,train,True
660,train,True
665,train,True
668,train,True
670,train,True
671,train,True
672,train,True
674,train,True
676,train,True
677,train,True
678,train,True
679,train,True
681,train,True
682,train,True
683,train,True
684,train,True
685,train,True
687,train,True
689,train,True
690,train,True
691,train,True
693,train,True
694,train,True
696,train,True
698,train,True
699,train,True
700,train,True
701,train,True
702,train,True
703,train,True
705,train,True
706,train,True
707,train,True
708,train,True
709,train,True
710,train,True
712,train,True
713,train,True
716,train,True
717,train,True
718,train,True
719,train,True
720,train,True
722,train,True
723,train,True
724,train,True
726,train,True
727,train,True
728,train,True
731,train,True
732,train,True
734,train,True
735,train,True
736,train,True
738,train,True
739,train,True
740,train,True
741,train,True
743,train,True
745,train,True
747,train,True
748,train,True
749,train,True
750,train,True
751,train,True
752,train,True
753,train,True
754,train,True
755,train,True
756,train,True
757,train,True
758,train,True
761,train,True
762,train,True
763,train,True
764,train,True
765,train,True
766,train,True
767,train,True
769,train,True
771,train,True
773,train,True
774,train,True
776,train,True
777,train,True
778,train,True
780,train,True
781,train,True
783,train,True
785,train,True
787,train,True
788,train,True
789,train,True
790,train,True
791,train,True
792,train,True
794,train,True
796,train,True
797,train,True
801,train,True
805,train,True
806,train,True
807,train,True
811,train,True
814,train,True
815,train,True
816,train,True
818,train,True
821,train,True
822,train,True
823,train,True
825,train,True
826,train,True
827,train,True
828,train,True
829,train,True
830,train,True
831,train,True
832,train,True
833,train,True
834,train,True
839,train,True
842,train,True
845,train,True
847,train,True
848,train,True
849,train,True
850,train,True
853,train,True
854,train,True
857,train,True
859,train,True
860,train,True
863,train,True
864,train,True
868,train,True
874,train,True
875,train,True
877,train,True
878,train,True
879,train,True
881,train,True
882,train,True
883,train,True
884,train,True
885,train,True
891,train,True
892,train,True
893,train,True
894,train,True
899,train,True
900,train,True
901,train,True
903,train,True
904,train,True
907,train,True
908,train,True
910,train,True
911,train,True
912,train,True
914,train,True
915,train,True
922,train,True
924,train,True
926,train,True
928,train,True
932,train,True
934,train,True
935,train,True
936,train,True
938,train,True
939,train,True
940,train,True
942,train,True
943,train,True
944,train,True
946,train,True
947,train,True
948,train,True
949,train,True
950,train,True
951,train,True
953,train,True
955,train,True
956,train,True
957,train,True
958,train,True
959,train,True
960,train,True
963,train,True
966,train,True
967,train,True
970,train,True
971,train,True
972,train,True
974,train,True
975,train,True
980,train,True
983,train,True
984,train,True
987,train,True
989,train,True
990,train,True
993,train,True
994,train,True
996,train,True
998,train,True
999,train,True
1000,train,True
1003,train,True
1004,train,True
1005,train,True
1006,train,True
1008,train,True
1012,train,True
1014,train,True
1015,train,True
1016,train,True
1019,train,True
1024,train,True
1025,train,True
1030,train,True
1032,train,True
1033,train,True
1034,train,True
1035,train,True
1039,train,True
1040,train,True
1042,train,True
1044,train,True
1045,train,True
1046,train,True
1047,train,True
1048,train,True
1049,train,True
1051,train,True
1052,train,True
1054,train,True
1055,train,True
1056,train,True
1057,train,True
1060,train,True
1061,train,True
1062,train,True
1065,train,True
1066,train,True
1068,train,True
1070,train,True
1071,train,True
1072,train,True
1073,train,True
1074,train,True
1075,train,True
1078,train,True
1079,train,True
1080,train,True
1086,train,True
1087,train,True
1088,train,True
1090,train,True
1091,train,True
1092,train,True
1095,train,True
1097,train,True
1099,train,True
1100,train,True
1102,train,True
1103,train,True
1107,train,True
1108,train,True
1109,train,True
1110,train,True
1111,train,True
1114,train,True
1115,train,True
1116,train,True
1117,train,True
1118,train,True
1122,train,True
1123,train,True
1125,train,True
1127,train,True
1128,train,True
1130,train,True
1131,train,True
1132,train,True
1133,train,True
1134,train,True
1135,train,True
1139,train,True
1140,train,True
1141,train,True
1142,train,True
1143,train,True
1148,train,True
1149,train,True
1150,train,True
1151,train,True
1154,train,True
1155,train,True
1157,train,True
1161,train,True
1162,train,True
1163,train,True
1165,train,True
1166,train,True
1169,train,True
1170,train,True
1171,train,True
1172,train,True
1173,train,True
1174,train,True
1175,train,True
1176,train,True
1178,train,True
1179,train,True
1181,train,True
1183,train,True
1184,train,True
1187,train,True
1188,train,True
1190,train,True
1193,train,True
1194,train,True
1195,train,True
1196,train,True
1197,train,True
1201,train,True
1203,train,True
1204,train,True
1205,train,True
1206,train,True
1209,train,True
1210,train,True
1211,train,True
1212,train,True
1215,train,True
1216,train,True
1219,train,True
1220,train,True
1224,train,True
1225,train,True
1230,train,True
1231,train,True
1232,train,True
1234,train,True
1236,train,True
1238,train,True
1240,train,True
1241,train,True
1242,train,True
1244,train,True
1247,train,True
1248,train,True
1250,train,True
1251,train,True
1253,train,True
1254,train,True
1256,train,True
1261,train,True
1263,train,True
1264,train,True
1266,train,True
1267,train,True
1272,train,True
1273,train,True
1276,train,True
1277,train,True
1278,train,True
1279,train,True
1281,train,True
1283,train,True
1284,train,True
1285,train,True
1287,train,True
1289,train,True
1290,train,True
1293,train,True
1294,train,True
1295,train,True
1297,train,True
1298,train,True
1299,train,True
1301,train,True
1302,train,True
1303,train,True
1304,train,True
1305,train,True
1307,train,True
1309,train,True
1311,train,True
1313,train,True
1314,train,True
1315,train,True
1316,train,True
1317,train,True
1318,train,True
1324,train,True
1325,train,True
1326,train,True
1327,train,True
1328,train,True
1329,train,True
1331,train,True
1333,train,True
1334,train,True
1335,train,True
1336,train,True
1337,train,True
1338,train,True
1340,train,True
1341,train,True
1343,train,True
1346,train,True
1351,train,True
1357,train,True
1358,train,True
1359,train,True
1360,train,True
1361,train,True
1363,train,True
1365,train,True
1367,train,True
1368,train,True
1370,train,True
1371,train,True
1372,train,True
1375,train,True
1376,train,True
1381,train,True
1383,train,True
1386,train,True
1388,train,True
1389,train,True
1390,train,True
1392,train,True
1393,train,True
1394,train,True
1396,train,True
1400,train,True
1401,train,True
1403,train,True
1404,train,True
1405,train,True
1406,train,True
1407,train,True
1408,train,True
1409,train,True
1410,train,True
1411,train,True
1413,train,True
1414,train,True
1415,train,True
1417,train,True
1419,train,True
1421,train,True
1422,train,True
1423,train,True
1428,train,True
1429,train,True
1431,train,True
1432,train,True
1433,train,True
1434,train,True
1435,train,True
1436,train,True
1437,train,True
1438,train,True
1439,train,True
1443,train,True
1445,train,True
1446,train,True
1447,train,True
1448,train,True
1449,train,True
1849,train,True
1911,train,True
1980,train,True
2966,train,True
2981,train,True
3005,train,True
3007,train,True
4229,train,True
4382,train,True
4913,train,True
5035,train,True
5157,train,True
5255,train,True
5261,train,True
5621,train,True
5631,train,True
5749,train,True
5783,train,True
6190,train,True
6382,train,True
7000,train,True
7014,train,True
20,val,True
43,val,True
82,val,True
87,val,True
88,val,True
90,val,True
93,val,True
107,val,True
119,val,True
123,val,True
125,val,True
128,val,True
135,val,True
146,val,True
147,val,True
149,val,True
150,val,True
163,val,True
166,val,True
183,val,True
190,val,True
195,val,True
202,val,True
204,val,True
211,val,True
220,val,True
230,val,True
242,val,True
243,val,True
250,val,True
287,val,True
290,val,True
292,val,True
305,val,True
311,val,True
314,val,True
340,val,True
347,val,True
352,val,True
353,val,True
363,val,True
391,val,True
393,val,True
401,val,True
403,val,True
404,val,True
405,val,True
408,val,True
424,val,True
427,val,True
432,val,True
441,val,True
442,val,True
443,val,True
445,val,True
454,val,True
468,val,True
478,val,True
486,val,True
533,val,True
551,val,True
556,val,True
563,val,True
564,val,True
566,val,True
569,val,True
571,val,True
572,val,True
576,val,True
578,val,True
582,val,True
588,val,True
589,val,True
593,val,True
601,val,True
602,val,True
606,val,True
608,val,True
610,val,True
618,val,True
623,val,True
631,val,True
635,val,True
636,val,True
644,val,True
647,val,True
648,val,True
649,val,True
652,val,True
658,val,True
661,val,True
662,val,True
663,val,True
666,val,True
673,val,True
675,val,True
695,val,True
711,val,True
730,val,True
733,val,True
737,val,True
742,val,True
760,val,True
768,val,True
772,val,True
775,val,True
784,val,True
786,val,True
793,val,True
795,val,True
804,val,True
813,val,True
820,val,True
836,val,True
852,val,True
880,val,True
886,val,True
887,val,True
888,val,True
898,val,True
909,val,True
917,val,True
919,val,True
920,val,True
925,val,True
927,val,True
931,val,True
941,val,True
961,val,True
969,val,True
979,val,True
985,val,True
986,val,True
995,val,True
1010,val,True
1011,val,True
1018,val,True
1022,val,True
1023,val,True
1026,val,True
1031,val,True
1041,val,True
1081,val,True
1093,val,True
1101,val,True
1105,val,True
1113,val,True
1119,val,True
1121,val,True
1126,val,True
1136,val,True
1144,val,True
1146,val,True
1147,val,True
1153,val,True
1156,val,True
1159,val,True
1164,val,True
1191,val,True
1192,val,True
1226,val,True
1235,val,True
1245,val,True
1249,val,True
1260,val,True
1262,val,True
1268,val,True
1270,val,True
1280,val,True
1288,val,True
1339,val,True
1344,val,True
1347,val,True
1349,val,True
1350,val,True
1354,val,True
1373,val,True
1374,val,True
1377,val,True
1378,val,True
1379,val,True
1380,val,True
1385,val,True
1391,val,True
1398,val,True
1412,val,True
1424,val,True
1425,val,True
1427,val,True
1440,val,True
2268,val,True
2614,val,True
2628,val,True
2700,val,True
3670,val,True
3801,val,True
3946,val,True
1,test,True
9,test,True
15,test,True
25,test,True
28,test,True
36,test,True
45,test,True
52,test,True
57,test,True
65,test,True
75,test,True
83,test,True
121,test,True
153,test,True
154,test,True
157,test,True
161,test,True
164,test,True
165,test,True
178,test,True
185,test,True
188,test,True
197,test,True
221,test,True
241,test,True
247,test,True
256,test,True
261,test,True
271,test,True
284,test,True
300,test,True
304,test,True
306,test,True
328,test,True
356,test,True
362,test,True
384,test,True
386,test,True
388,test,True
396,test,True
399,test,True
409,test,True
414,test,True
474,test,True
487,test,True
490,test,True
494,test,True
496,test,True
507,test,True
513,test,True
526,test,True
527,test,True
534,test,True
542,test,True
548,test,True
549,test,True
550,test,True
552,test,True
557,test,True
575,test,True
592,test,True
609,test,True
613,test,True
616,test,True
626,test,True
632,test,True
637,test,True
642,test,True
646,test,True
653,test,True
664,test,True
667,test,True
669,test,True
688,test,True
692,test,True
704,test,True
715,test,True
725,test,True
729,test,True
759,test,True
770,test,True
779,test,True
798,test,True
799,test,True
803,test,True
809,test,True
812,test,True
817,test,True
819,test,True
824,test,True
843,test,True
844,test,True
846,test,True
851,test,True
856,test,True
858,test,True
865,test,True
866,test,True
867,test,True
869,test,True
871,test,True
872,test,True
876,test,True
890,test,True
895,test,True
902,test,True
905,test,True
906,test,True
913,test,True
918,test,True
921,test,True
923,test,True
930,test,True
933,test,True
937,test,True
968,test,True
973,test,True
977,test,True
981,test,True
982,test,True
988,test,True
991,test,True
992,test,True
997,test,True
1002,test,True
1007,test,True
1009,test,True
1028,test,True
1036,test,True
1037,test,True
1038,test,True
1043,test,True
1053,test,True
1058,test,True
1059,test,True
1063,test,True
1067,test,True
1069,test,True
1076,test,True
1077,test,True
1083,test,True
1085,test,True
1089,test,True
1094,test,True
1096,test,True
1098,test,True
1104,test,True
1106,test,True
1112,test,True
1120,test,True
1138,test,True
1145,test,True
1152,test,True
1160,test,True
1185,test,True
1199,test,True
1207,test,True
1208,test,True
1213,test,True
1214,test,True
1217,test,True
1233,test,True
1237,test,True
1239,test,True
1243,test,True
1252,test,True
1255,test,True
1257,test,True
1265,test,True
1269,test,True
1274,test,True
1275,test,True
1292,test,True
1296,test,True
1319,test,True
1320,test,True
1322,test,True
1323,test,True
1332,test,True
1342,test,True
1345,test,True
1352,test,True
1353,test,True
1362,test,True
1364,test,True
1366,test,True
1369,test,True
1387,test,True
1395,test,True
1397,test,True
1399,test,True
1402,test,True
1416,test,True
1418,test,True
1420,test,True
1426,test,True
1430,test,True
1441,test,True
1442,test,True
1451,test,True
2803,test,True
