tile_name,split,row_start,col_start,tell_count,left,bottom,right,top
train_0000_r0_c0,train,0,0,2,499960.0,3594890.0,505080.0,3600010.0
train_0001_r0_c384,train,0,384,1,503800.0,3594890.0,508920.0,3600010.0
train_0002_r0_c768,train,0,768,2,507640.0,3594890.0,512760.0,3600010.0
train_0003_r0_c1152,train,0,1152,5,511480.0,3594890.0,516600.0,3600010.0
train_0004_r0_c1536,train,0,1536,9,515320.0,3594890.0,520440.0,3600010.0
train_0005_r0_c1920,train,0,1920,10,519160.0,3594890.0,524280.0,3600010.0
train_0006_r0_c2304,train,0,2304,9,523000.0,3594890.0,528120.0,3600010.0
train_0007_r0_c2688,train,0,2688,10,526840.0,3594890.0,531960.0,3600010.0
train_0008_r0_c3072,train,0,3072,7,530680.0,3594890.0,535800.0,3600010.0
train_0009_r0_c3456,train,0,3456,8,534520.0,3594890.0,539640.0,3600010.0
train_0010_r0_c3840,train,0,3840,2,538360.0,3594890.0,543480.0,3600010.0
train_0011_r0_c4224,train,0,4224,2,542200.0,3594890.0,547320.0,3600010.0
train_0012_r0_c4608,train,0,4608,1,546040.0,3594890.0,551160.0,3600010.0
train_0013_r0_c4992,train,0,4992,1,549880.0,3594890.0,555000.0,3600010.0
train_0014_r0_c5376,train,0,5376,1,553720.0,3594890.0,558840.0,3600010.0
train_0015_r0_c5710,train,0,5710,0,557060.0,3594890.0,562180.0,3600010.0
train_0016_r384_c0,train,384,0,6,499960.0,3591050.0,505080.0,3596170.0
train_0017_r384_c384,train,384,384,1,503800.0,3591050.0,508920.0,3596170.0
train_0018_r384_c768,train,384,768,3,507640.0,3591050.0,512760.0,3596170.0
train_0019_r384_c1152,train,384,1152,6,511480.0,3591050.0,516600.0,3596170.0
train_0020_r384_c1536,train,384,1536,4,515320.0,3591050.0,520440.0,3596170.0
train_0021_r384_c1920,train,384,1920,9,519160.0,3591050.0,524280.0,3596170.0
train_0022_r384_c2304,train,384,2304,8,523000.0,3591050.0,528120.0,3596170.0
