polygon_id,area_m2,tile_instances,matched_instances,detected,maximum_matched_confidence,maximum_matched_iou,size_class
1,158984.98802276546,2,0,False,,,large
9,285990.7012423583,4,4,True,0.4609145522117615,0.6449171290070617,large
15,154672.81207917415,2,2,True,0.5201942920684814,0.8212235804997263,large
25,75811.68140294723,2,0,False,,,medium
28,258904.47380811558,2,2,True,0.4820050597190857,0.7898586121068615,large
36,180686.0747851961,4,4,True,0.3220778107643127,0.8438652100563261,large
45,462828.46938728925,1,0,False,,,large
52,164609.09746302784,4,4,True,0.551521360874176,0.7742768908124035,large
57,688982.0371459043,2,2,True,0.6693189144134521,0.8820342133337081,large
65,115505.15619285524,2,2,True,0.6629728674888611,0.7134823310082383,medium
75,362676.7956643386,2,2,True,0.1339495480060577,0.7635312451131565,large
83,167750.78068400163,2,2,True,0.5669419765472412,0.6104881259716417,large
121,112988.0677543575,1,1,True,0.5027479529380798,0.7762026674945703,medium
153,825506.5206408117,2,2,True,0.4232573211193084,0.7245483886827595,large
154,118714.99559242856,1,1,True,0.5951125025749207,0.5971795257414846,medium
157,235634.61412296104,2,2,True,0.4781425893306732,0.7217870125912536,large
161,378962.9393933383,2,2,True,0.4585483372211456,0.8447136199097365,large
164,253466.60004394653,1,1,True,0.1330601274967193,0.638508437152795,large
165,277032.28867497586,4,4,True,0.3982390165328979,0.6320670165148132,large
178,314581.149539794,2,2,True,0.3208883106708526,0.7166021009924545,large
185,814522.1075787101,2,0,False,,,large
188,54302.60715931128,2,0,False,,,medium
197,252328.4913032842,4,4,True,0.3247299790382385,0.7766589639672188,large
221,135679.914716891,2,2,True,0.6128588318824768,0.6987153956199255,large
241,146876.7347724074,2,2,True,0.5788425207138062,0.7436516958501919,large
247,56749.863475148246,1,1,True,0.4155235588550567,0.5006471807077806,medium
256,157716.58508544555,1,1,True,0.2441300153732299,0.503625133357308,large
261,278170.37251069164,1,1,True,0.2960021793842315,0.5355504633893928,large
271,1449322.7845833001,1,0,False,,,large
284,262798.5555225446,2,2,True,0.4817997515201568,0.744075170165287,large
300,180765.61953716635,2,2,True,0.2687711119651794,0.6183746678433361,large
304,107189.81990915786,2,2,True,0.5998415946960449,0.6090341107920682,medium
306,229178.56527652728,1,1,True,0.4165675044059753,0.7406065885716779,large
328,234116.9108587731,2,2,True,0.4772475063800812,0.7902732846752636,large
356,67740.18582186656,2,0,False,,,medium
362,18021.49553318887,2,0,False,,,medium
384,52838.628208722585,1,0,False,,,medium
386,9921.420759598685,4,0,False,,,small
388,123606.40223094838,2,2,True,0.417064905166626,0.7124353294782603,medium
396,168203.10553916977,2,0,False,,,large
399,13561.923988925619,1,0,False,,,small
409,46482.11995547833,2,0,False,,,medium
414,81976.94386879592,1,1,True,0.1158199086785316,0.7074364159132207,medium
474,78214.14784459214,1,0,False,,,medium
487,14527.09036962823,1,0,False,,,small
490,22199.523787486658,4,0,False,,,medium
494,62344.964058206126,1,0,False,,,medium
496,26529.576794551198,1,0,False,,,medium
507,64803.85131190704,1,1,True,0.125172734260559,0.696351870336541,medium
513,60473.644766463454,1,0,False,,,medium
526,96095.26191006697,1,0,False,,,medium
527,13615.193496924976,2,0,False,,,small
