tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0000_r0_c7353,0,0,0,0,0,0.0,0.0
test_0001_r0_c7593,1,1,0,1,1,0.0,0.15457399189472198
test_0002_r0_c7833,0,0,0,0,0,0.0,0.0
test_0003_r0_c8073,1,1,1,0,0,0.294185072183609,0.0
test_0004_r0_c8313,0,3,0,3,0,0.0,0.35250210762023926
test_0005_r0_c8553,0,0,0,0,0,0.0,0.0
test_0006_r0_c8793,0,3,0,3,0,0.0,0.18451860547065735
test_0007_r0_c9033,0,1,0,1,0,0.0,0.20205630362033844
test_0008_r0_c9273,0,0,0,0,0,0.0,0.0
test_0009_r0_c9513,0,0,0,0,0,0.0,0.0
test_0010_r0_c9753,0,0,0,0,0,0.0,0.0
test_0011_r0_c9993,0,0,0,0,0,0.0,0.0
test_0012_r0_c10233,0,0,0,0,0,0.0,0.0
test_0013_r0_c10473,0,0,0,0,0,0.0,0.0
test_0014_r0_c10662,0,0,0,0,0,0.0,0.0
test_0015_r240_c7353,0,0,0,0,0,0.0,0.0
test_0016_r240_c7593,0,3,0,3,0,0.0,0.18565556406974792
test_0017_r240_c7833,0,1,0,1,0,0.0,0.19415287673473358
test_0018_r240_c8073,1,1,1,0,0,0.310396671295166,0.0
test_0019_r240_c8313,0,0,0,0,0,0.0,0.0
test_0020_r240_c8553,3,2,1,1,2,0.15148581564426422,0.5303312540054321
test_0021_r240_c8793,2,2,0,2,2,0.0,0.6098842024803162
test_0022_r240_c9033,1,2,0,2,1,0.0,0.5947914719581604
test_0023_r240_c9273,0,0,0,0,0,0.0,0.0
test_0024_r240_c9513,1,2,1,1,0,0.18368327617645264,0.10661749541759491
test_0025_r240_c9753,1,2,1,1,0,0.16906504333019257,0.11764848232269287
test_0026_r240_c9993,0,0,0,0,0,0.0,0.0
test_0027_r240_c10233,0,0,0,0,0,0.0,0.0
test_0028_r240_c10473,0,1,0,1,0,0.0,0.11054333299398422
test_0029_r240_c10662,0,1,0,1,0,0.0,0.2611542344093323
test_0030_r480_c7353,0,0,0,0,0,0.0,0.0
test_0031_r480_c7593,0,0,0,0,0,0.0,0.0
test_0032_r480_c7833,0,0,0,0,0,0.0,0.0
test_0033_r480_c8073,3,0,0,0,3,0.0,0.0
test_0034_r480_c8313,0,0,0,0,0,0.0,0.0
test_0035_r480_c8553,0,0,0,0,0,0.0,0.0
test_0036_r480_c8793,2,1,0,1,2,0.0,0.5036311745643616
test_0037_r480_c9033,1,1,0,1,1,0.0,0.5847220420837402
test_0038_r480_c9273,0,0,0,0,0,0.0,0.0
test_0039_r480_c9513,0,0,0,0,0,0.0,0.0
test_0040_r480_c9753,0,0,0,0,0,0.0,0.0
test_0041_r480_c9993,0,0,0,0,0,0.0,0.0
test_0042_r480_c10233,0,0,0,0,0,0.0,0.0
test_0043_r480_c10473,0,1,0,1,0,0.0,0.1321539580821991
test_0044_r480_c10662,0,2,0,2,0,0.0,0.3231954574584961
test_0045_r720_c7353,0,0,0,0,0,0.0,0.0
test_0046_r720_c7593,0,0,0,0,0,0.0,0.0
test_0047_r720_c7833,0,0,0,0,0,0.0,0.0
test_0048_r720_c8073,2,1,0,1,2,0.0,0.15515904128551483
test_0049_r720_c8313,1,3,1,2,0,0.5083875060081482,0.15698710083961487
test_0050_r720_c8553,0,2,0,2,0,0.0,0.1414501965045929
test_0051_r720_c8793,0,0,0,0,0,0.0,0.0
test_0052_r720_c9033,0,0,0,0,0,0.0,0.0
test_0053_r720_c9273,0,0,0,0,0,0.0,0.0
test_0054_r720_c9513,0,0,0,0,0,0.0,0.0
test_0055_r720_c9753,0,0,0,0,0,0.0,0.0
test_0056_r720_c9993,0,1,0,1,0,0.0,0.12596559524536133
test_0057_r720_c10233,0,0,0,0,0,0.0,0.0
test_0058_r720_c10473,0,0,0,0,0,0.0,0.0
test_0059_r720_c10662,1,3,1,2,0,0.6040478944778442,0.18128344416618347
test_0060_r960_c7353,0,1,0,1,0,0.0,0.3306313753128052
test_0061_r960_c7593,0,1,0,1,0,0.0,0.3340274691581726
test_0062_r960_c7833,0,0,0,0,0,0.0,0.0
test_0063_r960_c8073,0,0,0,0,0,0.0,0.0
test_0064_r960_c8313,0,1,0,1,0,0.0,0.3971154987812042
test_0065_r960_c8553,0,0,0,0,0,0.0,0.0
test_0066_r960_c8793,0,0,0,0,0,0.0,0.0
test_0067_r960_c9033,1,0,0,0,1,0.0,0.0
test_0068_r960_c9273,1,0,0,0,1,0.0,0.0
test_0069_r960_c9513,0,0,0,0,0,0.0,0.0
test_0070_r960_c9753,0,0,0,0,0,0.0,0.0
test_0071_r960_c9993,0,0,0,0,0,0.0,0.0
test_0072_r960_c10233,0,0,0,0,0,0.0,0.0
test_0073_r960_c10473,0,0,0,0,0,0.0,0.0
test_0074_r960_c10662,0,0,0,0,0,0.0,0.0
test_0075_r1200_c7353,0,2,0,2,0,0.0,0.22763493657112122
test_0076_r1200_c7593,0,1,0,1,0,0.0,0.29655635356903076
test_0077_r1200_c7833,0,0,0,0,0,0.0,0.0
test_0078_r1200_c8073,0,0,0,0,0,0.0,0.0
test_0079_r1200_c8313,0,0,0,0,0,0.0,0.0
test_0080_r1200_c8553,0,0,0,0,0,0.0,0.0
test_0081_r1200_c8793,0,0,0,0,0,0.0,0.0
test_0082_r1200_c9033,0,0,0,0,0,0.0,0.0
test_0083_r1200_c9273,0,0,0,0,0,0.0,0.0
test_0084_r1200_c9513,0,0,0,0,0,0.0,0.0
test_0085_r1200_c9753,0,0,0,0,0,0.0,0.0
test_0086_r1200_c9993,0,0,0,0,0,0.0,0.0
test_0087_r1200_c10233,0,0,0,0,0,0.0,0.0
test_0088_r1200_c10473,0,0,0,0,0,0.0,0.0
test_0089_r1200_c10662,0,0,0,0,0,0.0,0.0
test_0090_r1440_c7353,0,1,0,1,0,0.0,0.1718122810125351
test_0091_r1440_c7593,0,0,0,0,0,0.0,0.0
test_0092_r1440_c7833,0,0,0,0,0,0.0,0.0
test_0093_r1440_c8073,0,0,0,0,0,0.0,0.0
test_0094_r1440_c8313,0,0,0,0,0,0.0,0.0
test_0095_r1440_c8553,1,0,0,0,1,0.0,0.0
test_0096_r1440_c8793,1,0,0,0,1,0.0,0.0
test_0097_r1440_c9033,0,0,0,0,0,0.0,0.0
test_0098_r1440_c9273,0,0,0,0,0,0.0,0.0
test_0099_r1440_c9513,0,0,0,0,0,0.0,0.0
test_0100_r1440_c9753,0,0,0,0,0,0.0,0.0
test_0101_r1440_c9993,0,0,0,0,0,0.0,0.0
test_0102_r1440_c10233,0,0,0,0,0,0.0,0.0
test_0103_r1440_c10473,0,0,0,0,0,0.0,0.0
test_0104_r1440_c10662,0,0,0,0,0,0.0,0.0
test_0105_r1680_c7353,0,0,0,0,0,0.0,0.0
test_0106_r1680_c7593,0,0,0,0,0,0.0,0.0
test_0107_r1680_c7833,0,0,0,0,0,0.0,0.0
test_0108_r1680_c8073,0,0,0,0,0,0.0,0.0
test_0109_r1680_c8313,0,0,0,0,0,0.0,0.0
test_0110_r1680_c8553,0,0,0,0,0,0.0,0.0
test_0111_r1680_c8793,0,0,0,0,0,0.0,0.0
test_0112_r1680_c9033,0,0,0,0,0,0.0,0.0
test_0113_r1680_c9273,0,0,0,0,0,0.0,0.0
test_0114_r1680_c9513,0,0,0,0,0,0.0,0.0
test_0115_r1680_c9753,0,0,0,0,0,0.0,0.0
test_0116_r1680_c9993,0,0,0,0,0,0.0,0.0
test_0117_r1680_c10233,0,0,0,0,0,0.0,0.0
test_0118_r1680_c10473,0,0,0,0,0,0.0,0.0
test_0119_r1680_c10662,0,0,0,0,0,0.0,0.0
test_0120_r1920_c7353,0,0,0,0,0,0.0,0.0
test_0121_r1920_c7593,0,0,0,0,0,0.0,0.0
test_0122_r1920_c7833,0,0,0,0,0,0.0,0.0
test_0123_r1920_c8073,0,0,0,0,0,0.0,0.0
test_0124_r1920_c8313,0,2,0,2,0,0.0,0.17208349704742432
test_0125_r1920_c8553,0,0,0,0,0,0.0,0.0
test_0126_r1920_c8793,0,0,0,0,0,0.0,0.0
test_0127_r1920_c9033,0,0,0,0,0,0.0,0.0
test_0128_r1920_c9273,0,0,0,0,0,0.0,0.0
test_0129_r1920_c9513,0,0,0,0,0,0.0,0.0
test_0130_r1920_c9753,0,0,0,0,0,0.0,0.0
test_0131_r1920_c9993,0,0,0,0,0,0.0,0.0
test_0132_r1920_c10233,0,0,0,0,0,0.0,0.0
test_0133_r1920_c10473,0,0,0,0,0,0.0,0.0
test_0134_r1920_c10662,0,0,0,0,0,0.0,0.0
test_0135_r2160_c7353,2,0,0,0,2,0.0,0.0
test_0136_r2160_c7593,1,0,0,0,1,0.0,0.0
test_0137_r2160_c7833,0,0,0,0,0,0.0,0.0
test_0138_r2160_c8073,0,0,0,0,0,0.0,0.0
test_0139_r2160_c8313,0,0,0,0,0,0.0,0.0
test_0140_r2160_c8553,0,0,0,0,0,0.0,0.0
test_0141_r2160_c8793,0,0,0,0,0,0.0,0.0
test_0142_r2160_c9033,0,0,0,0,0,0.0,0.0
test_0143_r2160_c9273,0,0,0,0,0,0.0,0.0
test_0144_r2160_c9513,0,0,0,0,0,0.0,0.0
test_0145_r2160_c9753,0,0,0,0,0,0.0,0.0
test_0146_r2160_c9993,0,0,0,0,0,0.0,0.0
test_0147_r2160_c10233,0,0,0,0,0,0.0,0.0
test_0148_r2160_c10473,0,0,0,0,0,0.0,0.0
test_0149_r2160_c10662,0,0,0,0,0,0.0,0.0
test_0150_r2400_c7353,2,1,0,1,2,0.0,0.1193942055106163
test_0151_r2400_c7593,1,0,0,0,1,0.0,0.0
test_0152_r2400_c7833,0,0,0,0,0,0.0,0.0
test_0153_r2400_c8073,0,0,0,0,0,0.0,0.0
test_0154_r2400_c8313,0,0,0,0,0,0.0,0.0
test_0155_r2400_c8553,0,0,0,0,0,0.0,0.0
test_0156_r2400_c8793,0,0,0,0,0,0.0,0.0
test_0157_r2400_c9033,0,0,0,0,0,0.0,0.0
test_0158_r2400_c9273,0,0,0,0,0,0.0,0.0
test_0159_r2400_c9513,0,0,0,0,0,0.0,0.0
test_0160_r2400_c9753,0,0,0,0,0,0.0,0.0
test_0161_r2400_c9993,0,0,0,0,0,0.0,0.0
test_0162_r2400_c10233,1,0,0,0,1,0.0,0.0
test_0163_r2400_c10473,1,1,1,0,0,0.10196240991353989,0.0
test_0164_r2400_c10662,0,0,0,0,0,0.0,0.0
test_0165_r2640_c7353,0,0,0,0,0,0.0,0.0
test_0166_r2640_c7593,0,0,0,0,0,0.0,0.0
test_0167_r2640_c7833,0,0,0,0,0,0.0,0.0
test_0168_r2640_c8073,0,0,0,0,0,0.0,0.0
test_0169_r2640_c8313,0,0,0,0,0,0.0,0.0
test_0170_r2640_c8553,0,0,0,0,0,0.0,0.0
