candidate_id,raw_detection_id,confidence,source_detection_count,tile_name,prediction_index,width_m,height_m,box_area_m2,map_x_min,map_y_min,map_x_max,map_y_max,advisor_label,advisor_notes
C0001,R4101,0.9055310487747192,1,38SMB_01489_r8400_c4560,0,549.1510009765625,518.4855651855469,284726.8671135418,447308.4735107422,3614835.612487793,447857.62451171875,3615354.0980529785,,
C0002,R2703,0.9009526371955872,2,38SMB_01151_r6480_c4080,0,526.739501953125,503.831787109375,265388.1046101451,442344.2562866211,3632096.405029297,442870.9957885742,3632600.2368164062,,
C0003,R2530,0.898452639579773,2,38SMB_01088_r6000_c9120,0,616.76025390625,502.0265579223633,309630.0273318775,493373.5745239258,3639497.9734420776,493990.33477783203,3640000.0,,
C0004,R2398,0.8941628932952881,2,38SMB_01036_r5760_c6720,0,466.636962890625,457.8997802734375,213672.9627750814,469487.02239990234,3639823.3166503906,469953.65936279297,3640281.216430664,,
C0005,R4355,0.8931789398193359,2,38SMB_01567_r8880_c3120,0,524.7250366210938,550.9013366699219,289071.72405873425,432476.1720275879,3610298.6964416504,433000.897064209,3610849.5977783203,,
C0006,R4102,0.8884826302528381,1,38SMB_01489_r8400_c4560,1,554.5857238769531,519.1937637329102,287937.44929221575,446223.2640838623,3614990.041809082,446777.84980773926,3615509.235572815,,
C0007,R2856,0.8876941800117493,1,38SMB_01195_r6720_c4560,0,520.2179336547852,575.5947875976562,299434.7310265177,446138.26610565186,3631452.96875,446658.48403930664,3632028.5635375977,,
C0008,R0181,0.8868247270584106,2,38SMB_00050_r240_c1920,0,433.8677978515625,435.71258544921875,189041.6599450633,419637.40745544434,3695532.1716308594,420071.2752532959,3695967.8842163086,,
C0009,R2774,0.8852935433387756,2,38SMB_01173_r6480_c9360,0,499.630126953125,507.49202728271484,253558.3060189616,495465.5682373047,3634690.993537903,495965.1983642578,3635198.4855651855,,
C0010,R2049,0.8852337002754211,1,38SMB_00862_r4800_c5280,0,423.544921875,431.170654296875,182620.14108896255,454706.09130859375,3650163.146209717,455129.63623046875,3650594.3168640137,,
C0011,R2730,0.8851495385169983,2,38SMB_01154_r6480_c4800,0,502.1502685546875,509.100341796875,255644.87335458398,448943.3898925781,3632062.659301758,449445.5401611328,3632571.7596435547,,
C0012,R4226,0.8806602954864502,1,38SMB_01526_r8640_c3360,0,488.01483154296875,499.0411376953125,243539.4767453894,435122.0930480957,3612407.2631835938,435610.1078796387,3612906.304321289,,
C0013,R0137,0.8768548965454102,1,38SMB_00045_r240_c720,0,412.684326171875,417.1952819824219,172169.95382700115,409096.4532470703,3696144.2654418945,409509.1375732422,3696561.460723877,,
C0014,R2512,0.8738117218017578,2,38SMB_01076_r6000_c6240,0,481.1334228515625,482.6934814453125,232239.96691592038,462402.05280303955,3637791.204223633,462883.1862258911,3638273.897705078,,
C0015,R4541,0.8709025382995605,4,38SMB_01610_r9120_c3360,0,523.09326171875,524.8223114013672,274531.0146937147,436259.19982910156,3608270.5882263184,436782.2930908203,3608795.4105377197,,
C0016,R2758,0.8707171082496643,1,38SMB_01158_r6480_c5760,0,452.6860809326172,459.6754455566406,208088.67594999028,458736.35444641113,3633778.2836914062,459189.04052734375,3634237.959136963,,
C0017,R1367,0.8679761290550232,2,38SMB_00606_r3360_c4320,0,522.266845703125,512.1649169921875,267486.7556773126,445630.85845947266,3663757.351989746,446153.1253051758,3664269.5169067383,,
C0018,R3752,0.8673332929611206,2,38SMB_01405_r7920_c4560,0,570.3739929199219,578.388671875,329897.85623699427,445713.243560791,3619194.859008789,446283.61755371094,3619773.247680664,,
C0019,R4298,0.867181658744812,1,38SMB_01553_r8640_c9680,0,629.8291015625,619.4287490844727,390134.25251785666,499191.87072753906,3612356.410675049,499821.69982910156,3612975.8394241333,,
C0020,R2029,0.8667485117912292,2,38SMB_00857_r4800_c4080,0,856.6696166992188,771.39404296875,660829.8391140997,442615.537109375,3648800.0,443472.2067260742,3649571.3940429688,,
C0021,R0568,0.8648481965065002,2,38SMB_00297_r1680_c720,0,494.6620178222656,472.8912353515625,233921.33268946782,409559.6141052246,3680626.4920043945,410054.2761230469,3681099.383239746,,
C0022,R2825,0.8607146739959717,2,38SMB_01192_r6720_c3840,0,503.6566162109375,619.3486022949219,311939.02128683403,441096.34338378906,3631421.076965332,441600.0,3632040.425567627,,
C0023,R3753,0.8602981567382812,2,38SMB_01405_r7920_c4560,1,526.8267822265625,529.263916015625,278830.40582314134,447752.5262451172,3617600.0,448279.35302734375,3618129.2639160156,,
C0024,R0034,0.8594384789466858,1,38SMB_00004_r0_c960,0,560.1298522949219,567.3509979248047,317790.2306669974,410513.21060180664,3699170.9761047363,411073.34045410156,3699738.327102661,,
C0025,R0965,0.8584433794021606,2,38SMB_00457_r2400_c8880,0,413.26416015625,419.60968017578125,173409.6420712769,491405.36193847656,3674727.8813171387,491818.6260986328,3675147.4909973145,,
C0026,R1403,0.8568763732910156,1,38SMB_00636_r3600_c1440,0,391.66656494140625,373.7629699707031,146390.45855072327,415535.4438781738,3662693.731842041,415927.11044311523,3663067.4948120117,,
C0027,R3839,0.8559991121292114,2,38SMB_01430_r8160_c480,0,586.5928649902344,543.5650634765625,318851.3878933154,407216.4161682129,3615830.0314331055,407803.0090332031,3616373.596496582,,
C0028,R2465,0.8551273941993713,1,38SMB_01068_r6000_c4320,0,490.2105712890625,467.8314208984375,229335.9081055969,445455.4684448242,3637645.0161743164,445945.6790161133,3638112.847595215,,
C0029,R2204,0.8489332795143127,1,38SMB_00941_r5280_c4080,0,477.2027587890625,488.941650390625,233324.30445328355,442280.89263916016,3645185.940246582,442758.0953979492,3645674.8818969727,,
C0030,R2605,0.848400890827179,1,38SMB_01112_r6240_c4800,0,443.25775146484375,447.71846771240234,198454.6812874847,449336.4254760742,3636580.7305908203,449779.68322753906,3637028.4490585327,,
C0031,R2895,0.8480628132820129,1,38SMB_01207_r6720_c7440,0,469.46197509765625,472.652587890625,221892.41744615138,476436.06704711914,3631135.1986694336,476905.5290222168,3631607.851257324,,
C0032,R3824,0.8470162153244019,4,38SMB_01426_r7920_c9600,0,485.4888916015625,471.4060974121094,228862.42372682318,498374.9377441406,3619930.36529541,498860.4266357422,3620401.7713928223,,
C0033,R2585,0.8463161587715149,2,38SMB_01109_r6240_c4080,0,450.6001663208008,454.0155029296875,204579.4611323392,440802.10472106934,3636386.9940185547,441252.70488739014,3636841.0095214844,,
C0034,R2984,0.8447611331939697,1,38SMB_01237_r6960_c4560,0,676.1300659179688,639.4798278808594,432371.53817829676,446217.403717041,3629175.774230957,446893.533782959,3629815.254058838,,
C0035,R2050,0.8427078723907471,2,38SMB_00862_r4800_c5280,1,509.26910400390625,512.9640197753906,261236.72673725523,453772.1026611328,3649121.885986328,454281.3717651367,3649634.8500061035,,
C0036,R1284,0.8418030738830566,1,38SMB_00570_r3120_c5760,0,389.2364501953125,343.42315673828125,133672.810443677,458341.5783691406,3666777.767791748,458730.81481933594,3667121.1909484863,,
C0037,R4199,0.8412604928016663,1,38SMB_01524_r8640_c2880,0,448.402099609375,454.72991943359375,203901.85062922537,429522.2343444824,3611753.613128662,429970.6364440918,3612208.3430480957,,
C0038,R2833,0.8410434126853943,1,38SMB_01193_r6720_c4080,2,535.8538818359375,545.1309585571289,292110.5402517831,442806.5936279297,3631783.6207580566,443342.4475097656,3632328.751716614,,
C0039,R4714,0.8394701480865479,2,38SMB_01653_r9360_c3600,0,633.7175750732422,676.0302734375,428412.26555891335,436056.69609069824,3605289.3125915527,436690.4136657715,3605965.3428649902,,
C0040,R3562,0.8388667702674866,2,38SMB_01365_r7680_c5040,0,482.6556396484375,483.209228515625,233223.659273237,453088.6901855469,3621929.8753356934,453571.3458251953,3622413.084564209,,
C0041,R3623,0.8369339108467102,1,38SMB_01382_r7680_c9120,0,433.3123779296875,429.18304443359375,185970.32555062324,492037.3136138916,3621797.9942321777,492470.6259918213,3622227.1772766113,,
C0042,R2993,0.8367181420326233,4,38SMB_01239_r6960_c5040,0,543.7875366210938,546.3584899902344,297102.93738381006,452662.3083496094,3629685.555114746,453206.09588623047,3630231.9136047363,,
C0043,R3979,0.8354461789131165,1,38SMB_01458_r8160_c7200,0,489.0748596191406,480.02044677734375,234765.93262194656,472793.19396972656,3617052.2619628906,473282.2688293457,3617532.282409668,,
C0044,R2366,0.834164023399353,2,38SMB_01027_r5760_c4560,0,608.5589599609375,621.9461059570312,378490.875392966,447925.59509277344,3640403.2637023926,448534.1540527344,3641025.2098083496,,
C0045,R3361,0.8338795304298401,1,38SMB_01324_r7440_c5280,0,540.0979614257812,534.7271347045898,288805.0353729981,454060.665435791,3624564.9322509766,454600.7633972168,3625099.659385681,,
C0046,R2577,0.8325615525245667,1,38SMB_01108_r6240_c3840,0,410.65765380859375,414.45220947265625,170197.97195782885,439377.6330566406,3636152.7362060547,439788.2907104492,3636567.1884155273,,
C0047,R2277,0.8325462937355042,1,38SMB_00984_r5520_c4320,0,590.1689147949219,588.946533203125,347577.9363727197,443935.3323364258,3641968.487854004,444525.5012512207,3642557.434387207,,
C0048,R2030,0.8308221101760864,2,38SMB_00857_r4800_c4080,1,650.7208251953125,665.4541015625,433024.8420983553,442146.0888671875,3648967.2381591797,442796.8096923828,3649632.692260742,,
C0049,R1944,0.8302715420722961,1,38SMB_00816_r4560_c4320,0,457.52044677734375,470.57525634765625,215297.80152654275,445395.8413696289,3651839.067993164,445853.36181640625,3652309.6432495117,,
C0050,R4075,0.8301953673362732,1,38SMB_01484_r8400_c3360,0,535.3802490234375,576.923828125,308873.62276911736,434999.0100097656,3614398.606262207,435534.39025878906,3614975.530090332,,
C0051,R1623,0.8301432728767395,2,38SMB_00708_r3840_c8640,0,467.61959075927734,465.8038330078125,217818.99776521605,486825.50800323486,3659988.9141845703,487293.12759399414,3660454.718017578,,
C0052,R1558,0.8298026919364929,2,38SMB_00686_r3840_c3360,0,485.3343200683594,447.933349609375,217397.42766860873,436136.48696899414,3659585.4794311523,436621.8212890625,3660033.4127807617,,
C0053,R1929,0.8291177749633789,4,38SMB_00814_r4560_c3840,0,560.1659393310547,546.2397003173828,305984.87482820055,438523.2521057129,3653849.809036255,439083.41804504395,3654396.0487365723,,
C0054,R1142,0.8290579915046692,1,38SMB_00516_r2880_c2880,0,554.0911102294922,544.5867919921875,301750.7001912687,429897.50984191895,3669781.9523620605,430451.60095214844,3670326.5391540527,,
C0055,R2355,0.8270742297172546,1,38SMB_01026_r5760_c4320,0,544.6300506591797,527.8771591186523,287497.7639126155,444355.2237701416,3641384.488220215,444899.8538208008,3641912.3653793335,,
C0056,R1680,0.8266705274581909,2,38SMB_00727_r4080_c3120,0,524.2619323730469,537.9135131835938,282007.5778712053,431338.8641357422,3657923.773498535,431863.12606811523,3658461.6870117188,,
C0057,R4061,0.8265669345855713,1,38SMB_01482_r8400_c2880,0,701.920166015625,679.3743896484375,476866.58436879516,430193.84552001953,3613360.9564208984,430895.76568603516,3614040.330810547,,
C0058,R2286,0.8260876536369324,1,38SMB_00985_r5520_c4560,0,538.1811904907227,548.011474609375,294929.46780784987,446128.9388656616,3642925.4653930664,446667.12005615234,3643473.476867676,,
C0059,R0648,0.8254740834236145,2,38SMB_00339_r1920_c720,0,411.5008544921875,399.920654296875,164567.69097223878,408600.0665283203,3677691.7864990234,409011.5673828125,3678091.7071533203,,
C0060,R3353,0.8238197565078735,1,38SMB_01323_r7440_c5040,0,599.3017578125,592.757568359375,355240.65267443657,451861.5515136719,3623138.314819336,452460.8532714844,3623731.0723876953,,
C0061,R0565,0.822638213634491,1,38SMB_00295_r1680_c240,0,538.0606079101562,499.6282958984375,268830.3046202287,403383.9831542969,3680512.332458496,403922.04376220703,3681011.9607543945,,
C0062,R2597,0.8223499655723572,1,38SMB_01111_r6240_c4560,0,382.00225830078125,417.6031494140625,159525.34614969045,446994.34143066406,3636461.6271972656,447376.34368896484,3636879.2303466797,,
C0063,R2067,0.8219431042671204,2,38SMB_00870_r4800_c7200,0,521.2045288085938,549.0573120117188,286171.1575959809,474062.7670288086,3651081.3359832764,474583.9715576172,3651630.393295288,,
C0064,R2721,0.8219091892242432,1,38SMB_01153_r6480_c4560,0,522.4542236328125,541.5667724609375,282943.8476514071,447682.66540527344,3633101.139831543,448205.11962890625,3633642.706604004,,
