tile_name,row_start,col_start,left,bottom,right,top
38SMB_00000_r0_c0,0,0,400000.0,3696800.0,403200.0,3700000.0
38SMB_00001_r0_c240,0,240,402400.0,3696800.0,405600.0,3700000.0
38SMB_00002_r0_c480,0,480,404800.0,3696800.0,408000.0,3700000.0
38SMB_00003_r0_c720,0,720,407200.0,3696800.0,410400.0,3700000.0
38SMB_00004_r0_c960,0,960,409600.0,3696800.0,412800.0,3700000.0
38SMB_00005_r0_c1200,0,1200,412000.0,3696800.0,415200.0,3700000.0
38SMB_00006_r0_c1440,0,1440,414400.0,3696800.0,417600.0,3700000.0
38SMB_00007_r0_c1680,0,1680,416800.0,3696800.0,420000.0,3700000.0
38SMB_00008_r0_c1920,0,1920,419200.0,3696800.0,422400.0,3700000.0
38SMB_00009_r0_c2160,0,2160,421600.0,3696800.0,424800.0,3700000.0
38SMB_00010_r0_c2400,0,2400,424000.0,3696800.0,427200.0,3700000.0
38SMB_00011_r0_c2640,0,2640,426400.0,3696800.0,429600.0,3700000.0
38SMB_00012_r0_c2880,0,2880,428800.0,3696800.0,432000.0,3700000.0
38SMB_00013_r0_c3120,0,3120,431200.0,3696800.0,434400.0,3700000.0
38SMB_00014_r0_c3360,0,3360,433600.0,3696800.0,436800.0,3700000.0
38SMB_00015_r0_c3600,0,3600,436000.0,3696800.0,439200.0,3700000.0
38SMB_00016_r0_c3840,0,3840,438400.0,3696800.0,441600.0,3700000.0
38SMB_00017_r0_c4080,0,4080,440800.0,3696800.0,444000.0,3700000.0
38SMB_00018_r0_c4320,0,4320,443200.0,3696800.0,446400.0,3700000.0
38SMB_00019_r0_c4560,0,4560,445600.0,3696800.0,448800.0,3700000.0
38SMB_00020_r0_c4800,0,4800,448000.0,3696800.0,451200.0,3700000.0
38SMB_00021_r0_c5040,0,5040,450400.0,3696800.0,453600.0,3700000.0
38SMB_00022_r0_c5280,0,5280,452800.0,3696800.0,456000.0,3700000.0
38SMB_00023_r0_c5520,0,5520,455200.0,3696800.0,458400.0,3700000.0
38SMB_00024_r0_c5760,0,5760,457600.0,3696800.0,460800.0,3700000.0
38SMB_00025_r0_c6000,0,6000,460000.0,3696800.0,463200.0,3700000.0
38SMB_00026_r0_c6240,0,6240,462400.0,3696800.0,465600.0,3700000.0
38SMB_00027_r0_c6480,0,6480,464800.0,3696800.0,468000.0,3700000.0
38SMB_00028_r0_c6720,0,6720,467200.0,3696800.0,470400.0,3700000.0
38SMB_00029_r0_c6960,0,6960,469600.0,3696800.0,472800.0,3700000.0
38SMB_00030_r0_c7200,0,7200,472000.0,3696800.0,475200.0,3700000.0
38SMB_00031_r0_c7440,0,7440,474400.0,3696800.0,477600.0,3700000.0
38SMB_00032_r0_c7680,0,7680,476800.0,3696800.0,480000.0,3700000.0
38SMB_00033_r0_c7920,0,7920,479200.0,3696800.0,482400.0,3700000.0
38SMB_00034_r0_c8160,0,8160,481600.0,3696800.0,484800.0,3700000.0
38SMB_00035_r0_c8400,0,8400,484000.0,3696800.0,487200.0,3700000.0
38SMB_00036_r0_c8640,0,8640,486400.0,3696800.0,489600.0,3700000.0
38SMB_00037_r0_c8880,0,8880,488800.0,3696800.0,492000.0,3700000.0
38SMB_00038_r0_c9120,0,9120,491200.0,3696800.0,494400.0,3700000.0
38SMB_00039_r0_c9360,0,9360,493600.0,3696800.0,496800.0,3700000.0
38SMB_00040_r0_c9600,0,9600,496000.0,3696800.0,499200.0,3700000.0
38SMB_00041_r0_c9680,0,9680,496800.0,3696800.0,500000.0,3700000.0
38SMB_00042_r240_c0,240,0,400000.0,3694400.0,403200.0,3697600.0
38SMB_00043_r240_c240,240,240,402400.0,3694400.0,405600.0,3697600.0
38SMB_00044_r240_c480,240,480,404800.0,3694400.0,408000.0,3697600.0
38SMB_00045_r240_c720,240,720,407200.0,3694400.0,410400.0,3697600.0
38SMB_00046_r240_c960,240,960,409600.0,3694400.0,412800.0,3697600.0
38SMB_00047_r240_c1200,240,1200,412000.0,3694400.0,415200.0,3697600.0
38SMB_00048_r240_c1440,240,1440,414400.0,3694400.0,417600.0,3697600.0
38SMB_00049_r240_c1680,240,1680,416800.0,3694400.0,420000.0,3697600.0
38SMB_00050_r240_c1920,240,1920,419200.0,3694400.0,422400.0,3697600.0
38SMB_00051_r240_c2160,240,2160,421600.0,3694400.0,424800.0,3697600.0
38SMB_00052_r240_c2400,240,2400,424000.0,3694400.0,427200.0,3697600.0
38SMB_00053_r240_c2640,240,2640,426400.0,3694400.0,429600.0,3697600.0
38SMB_00054_r240_c2880,240,2880,428800.0,3694400.0,432000.0,3697600.0
38SMB_00055_r240_c3120,240,3120,431200.0,3694400.0,434400.0,3697600.0
38SMB_00056_r240_c3360,240,3360,433600.0,3694400.0,436800.0,3697600.0
38SMB_00057_r240_c3600,240,3600,436000.0,3694400.0,439200.0,3697600.0
