polygon_id,area_m2,tile_instances,matched_instances,detected,maximum_matched_confidence,maximum_matched_iou,size_class
1,158984.98802276546,4,0,False,,,large
9,285990.7012423583,1,1,True,0.654914140701294,0.5158146522234419,large
15,154672.81207917415,1,1,True,0.6484785079956055,0.7382103018132983,large
25,75811.68140294723,2,0,False,,,medium
28,258904.47380811558,2,2,True,0.6509115099906921,0.72014000132989,large
36,180686.0747851961,2,2,True,0.1752879172563552,0.7543923633091858,large
45,462828.46938728925,2,2,True,0.6597267985343933,0.5199120312212433,large
52,164609.09746302784,2,2,True,0.6870715022087097,0.7460190760630144,large
57,688982.0371459043,2,2,True,0.7314280271530151,0.8030623566024634,large
65,115505.15619285524,2,2,True,0.8743482232093811,0.5692460778902256,medium
75,362676.7956643386,1,0,False,,,large
83,167750.78068400163,1,1,True,0.7988192439079285,0.5244172008394185,large
121,112988.0677543575,1,1,True,0.6934086680412292,0.6387557805251918,medium
153,825506.5206408117,2,2,True,0.4576553404331207,0.7551166084411293,large
154,118714.99559242856,2,1,True,0.7838115096092224,0.5164376341648472,medium
157,235634.61412296104,1,1,True,0.5471609234809875,0.6065421256647221,large
161,378962.9393933383,1,1,True,0.546557605266571,0.7701479252847085,large
164,253466.60004394653,3,2,True,0.1285669654607772,0.717599801812171,large
165,277032.28867497586,2,2,True,0.3855289816856384,0.5744313338783119,large
178,314581.149539794,2,2,True,0.4721574485301971,0.6768388849753856,large
185,814522.1075787101,1,1,True,0.1745863854885101,0.5048379332083074,large
188,54302.60715931128,4,0,False,,,medium
197,252328.4913032842,2,1,True,0.4053696691989898,0.5811374583642109,large
221,135679.914716891,1,0,False,,,large
241,146876.7347724074,2,2,True,0.6651080846786499,0.5990333487466566,large
247,56749.863475148246,1,0,False,,,medium
256,157716.58508544555,1,0,False,,,large
261,278170.37251069164,1,1,True,0.4754012525081634,0.5308486631184235,large
271,1449322.7845833001,2,2,True,0.4394655525684356,0.6840435767673195,large
284,262798.5555225446,2,2,True,0.6944556832313538,0.6146731638313249,large
300,180765.61953716635,2,2,True,0.1502259522676468,0.6990194990888272,large
304,107189.81990915786,2,1,True,0.7909636497497559,0.522696584388347,medium
