tile_name,split,row_start,col_start,tell_count,left,bottom,right,top
train_0000_r0_c0,train,0,0,2,499960.0,3596810.0,503160.0,3600010.0
train_0001_r0_c240,train,0,240,2,502360.0,3596810.0,505560.0,3600010.0
train_0002_r0_c480,train,0,480,1,504760.0,3596810.0,507960.0,3600010.0
train_0003_r0_c720,train,0,720,1,507160.0,3596810.0,510360.0,3600010.0
train_0004_r0_c960,train,0,960,1,509560.0,3596810.0,512760.0,3600010.0
train_0005_r0_c1200,train,0,1200,4,511960.0,3596810.0,515160.0,3600010.0
train_0006_r0_c1440,train,0,1440,7,514360.0,3596810.0,517560.0,3600010.0
train_0007_r0_c1680,train,0,1680,4,516760.0,3596810.0,519960.0,3600010.0
train_0008_r0_c1920,train,0,1920,2,519160.0,3596810.0,522360.0,3600010.0
train_0009_r0_c2160,train,0,2160,3,521560.0,3596810.0,524760.0,3600010.0
train_0010_r0_c2400,train,0,2400,4,523960.0,3596810.0,527160.0,3600010.0
train_0011_r0_c2640,train,0,2640,6,526360.0,3596810.0,529560.0,3600010.0
train_0012_r0_c2880,train,0,2880,8,528760.0,3596810.0,531960.0,3600010.0
train_0013_r0_c3120,train,0,3120,2,531160.0,3596810.0,534360.0,3600010.0
train_0014_r0_c3360,train,0,3360,1,533560.0,3596810.0,536760.0,3600010.0
train_0015_r0_c3600,train,0,3600,1,535960.0,3596810.0,539160.0,3600010.0
train_0016_r0_c3840,train,0,3840,1,538360.0,3596810.0,541560.0,3600010.0
train_0017_r0_c4080,train,0,4080,0,540760.0,3596810.0,543960.0,3600010.0
train_0018_r0_c4320,train,0,4320,1,543160.0,3596810.0,546360.0,3600010.0
train_0019_r0_c4560,train,0,4560,0,545560.0,3596810.0,548760.0,3600010.0
train_0020_r0_c4800,train,0,4800,0,547960.0,3596810.0,551160.0,3600010.0
train_0021_r0_c5040,train,0,5040,0,550360.0,3596810.0,553560.0,3600010.0
train_0022_r0_c5280,train,0,5280,0,552760.0,3596810.0,555960.0,3600010.0
train_0023_r0_c5520,train,0,5520,1,555160.0,3596810.0,558360.0,3600010.0
train_0024_r0_c5760,train,0,5760,0,557560.0,3596810.0,560760.0,3600010.0
train_0025_r0_c5902,train,0,5902,0,558980.0,3596810.0,562180.0,3600010.0
train_0026_r240_c0,train,240,0,2,499960.0,3594410.0,503160.0,3597610.0
train_0027_r240_c240,train,240,240,2,502360.0,3594410.0,505560.0,3597610.0
train_0028_r240_c480,train,240,480,0,504760.0,3594410.0,507960.0,3597610.0
train_0029_r240_c720,train,240,720,1,507160.0,3594410.0,510360.0,3597610.0
train_0030_r240_c960,train,240,960,1,509560.0,3594410.0,512760.0,3597610.0
train_0031_r240_c1200,train,240,1200,0,511960.0,3594410.0,515160.0,3597610.0
train_0032_r240_c1440,train,240,1440,3,514360.0,3594410.0,517560.0,3597610.0
train_0033_r240_c1680,train,240,1680,4,516760.0,3594410.0,519960.0,3597610.0
train_0034_r240_c1920,train,240,1920,3,519160.0,3594410.0,522360.0,3597610.0
train_0035_r240_c2160,train,240,2160,4,521560.0,3594410.0,524760.0,3597610.0
train_0036_r240_c2400,train,240,2400,3,523960.0,3594410.0,527160.0,3597610.0
train_0037_r240_c2640,train,240,2640,2,526360.0,3594410.0,529560.0,3597610.0
train_0038_r240_c2880,train,240,2880,1,528760.0,3594410.0,531960.0,3597610.0
train_0039_r240_c3120,train,240,3120,3,531160.0,3594410.0,534360.0,3597610.0
train_0040_r240_c3360,train,240,3360,3,533560.0,3594410.0,536760.0,3597610.0
train_0041_r240_c3600,train,240,3600,5,535960.0,3594410.0,539160.0,3597610.0
train_0042_r240_c3840,train,240,3840,3,538360.0,3594410.0,541560.0,3597610.0
train_0043_r240_c4080,train,240,4080,2,540760.0,3594410.0,543960.0,3597610.0
train_0044_r240_c4320,train,240,4320,1,543160.0,3594410.0,546360.0,3597610.0
train_0045_r240_c4560,train,240,4560,1,545560.0,3594410.0,548760.0,3597610.0
train_0046_r240_c4800,train,240,4800,3,547960.0,3594410.0,551160.0,3597610.0
train_0047_r240_c5040,train,240,5040,2,550360.0,3594410.0,553560.0,3597610.0
train_0048_r240_c5280,train,240,5280,0,552760.0,3594410.0,555960.0,3597610.0
train_0049_r240_c5520,train,240,5520,0,555160.0,3594410.0,558360.0,3597610.0
train_0050_r240_c5760,train,240,5760,0,557560.0,3594410.0,560760.0,3597610.0
train_0051_r240_c5902,train,240,5902,0,558980.0,3594410.0,562180.0,3597610.0
train_0052_r480_c0,train,480,0,2,499960.0,3592010.0,503160.0,3595210.0
train_0053_r480_c240,train,480,240,4,502360.0,3592010.0,505560.0,3595210.0
train_0054_r480_c480,train,480,480,0,504760.0,3592010.0,507960.0,3595210.0
train_0055_r480_c720,train,480,720,3,507160.0,3592010.0,510360.0,3595210.0
train_0056_r480_c960,train,480,960,2,509560.0,3592010.0,512760.0,3595210.0
train_0057_r480_c1200,train,480,1200,2,511960.0,3592010.0,515160.0,3595210.0
train_0058_r480_c1440,train,480,1440,4,514360.0,3592010.0,517560.0,3595210.0
train_0059_r480_c1680,train,480,1680,1,516760.0,3592010.0,519960.0,3595210.0
train_0060_r480_c1920,train,480,1920,1,519160.0,3592010.0,522360.0,3595210.0
train_0061_r480_c2160,train,480,2160,7,521560.0,3592010.0,524760.0,3595210.0
train_0062_r480_c2400,train,480,2400,3,523960.0,3592010.0,527160.0,3595210.0
train_0063_r480_c2640,train,480,2640,0,526360.0,3592010.0,529560.0,3595210.0
train_0064_r480_c2880,train,480,2880,1,528760.0,3592010.0,531960.0,3595210.0
train_0065_r480_c3120,train,480,3120,0,531160.0,3592010.0,534360.0,3595210.0
train_0066_r480_c3360,train,480,3360,0,533560.0,3592010.0,536760.0,3595210.0
train_0067_r480_c3600,train,480,3600,2,535960.0,3592010.0,539160.0,3595210.0
train_0068_r480_c3840,train,480,3840,5,538360.0,3592010.0,541560.0,3595210.0
train_0069_r480_c4080,train,480,4080,5,540760.0,3592010.0,543960.0,3595210.0
train_0070_r480_c4320,train,480,4320,6,543160.0,3592010.0,546360.0,3595210.0
train_0071_r480_c4560,train,480,4560,2,545560.0,3592010.0,548760.0,3595210.0
train_0072_r480_c4800,train,480,4800,3,547960.0,3592010.0,551160.0,3595210.0
train_0073_r480_c5040,train,480,5040,3,550360.0,3592010.0,553560.0,3595210.0
train_0074_r480_c5280,train,480,5280,1,552760.0,3592010.0,555960.0,3595210.0
train_0075_r480_c5520,train,480,5520,0,555160.0,3592010.0,558360.0,3595210.0
train_0076_r480_c5760,train,480,5760,0,557560.0,3592010.0,560760.0,3595210.0
train_0077_r480_c5902,train,480,5902,0,558980.0,3592010.0,562180.0,3595210.0
train_0078_r720_c0,train,720,0,2,499960.0,3589610.0,503160.0,3592810.0
train_0079_r720_c240,train,720,240,2,502360.0,3589610.0,505560.0,3592810.0
train_0080_r720_c480,train,720,480,1,504760.0,3589610.0,507960.0,3592810.0
train_0081_r720_c720,train,720,720,0,507160.0,3589610.0,510360.0,3592810.0
train_0082_r720_c960,train,720,960,0,509560.0,3589610.0,512760.0,3592810.0
train_0083_r720_c1200,train,720,1200,1,511960.0,3589610.0,515160.0,3592810.0
train_0084_r720_c1440,train,720,1440,3,514360.0,3589610.0,517560.0,3592810.0
train_0085_r720_c1680,train,720,1680,1,516760.0,3589610.0,519960.0,3592810.0
train_0086_r720_c1920,train,720,1920,0,519160.0,3589610.0,522360.0,3592810.0
train_0087_r720_c2160,train,720,2160,1,521560.0,3589610.0,524760.0,3592810.0
train_0088_r720_c2400,train,720,2400,0,523960.0,3589610.0,527160.0,3592810.0
train_0089_r720_c2640,train,720,2640,0,526360.0,3589610.0,529560.0,3592810.0
train_0090_r720_c2880,train,720,2880,3,528760.0,3589610.0,531960.0,3592810.0
train_0091_r720_c3120,train,720,3120,0,531160.0,3589610.0,534360.0,3592810.0
train_0092_r720_c3360,train,720,3360,0,533560.0,3589610.0,536760.0,3592810.0
train_0093_r720_c3600,train,720,3600,1,535960.0,3589610.0,539160.0,3592810.0
train_0094_r720_c3840,train,720,3840,0,538360.0,3589610.0,541560.0,3592810.0
train_0095_r720_c4080,train,720,4080,0,540760.0,3589610.0,543960.0,3592810.0
train_0096_r720_c4320,train,720,4320,2,543160.0,3589610.0,546360.0,3592810.0
train_0097_r720_c4560,train,720,4560,2,545560.0,3589610.0,548760.0,3592810.0
train_0098_r720_c4800,train,720,4800,1,547960.0,3589610.0,551160.0,3592810.0
train_0099_r720_c5040,train,720,5040,0,550360.0,3589610.0,553560.0,3592810.0
train_0100_r720_c5280,train,720,5280,0,552760.0,3589610.0,555960.0,3592810.0
train_0101_r720_c5520,train,720,5520,1,555160.0,3589610.0,558360.0,3592810.0
train_0102_r720_c5760,train,720,5760,1,557560.0,3589610.0,560760.0,3592810.0
train_0103_r720_c5902,train,720,5902,0,558980.0,3589610.0,562180.0,3592810.0
train_0104_r960_c0,train,960,0,0,499960.0,3587210.0,503160.0,3590410.0
train_0105_r960_c240,train,960,240,6,502360.0,3587210.0,505560.0,3590410.0
train_0106_r960_c480,train,960,480,2,504760.0,3587210.0,507960.0,3590410.0
train_0107_r960_c720,train,960,720,0,507160.0,3587210.0,510360.0,3590410.0
train_0108_r960_c960,train,960,960,1,509560.0,3587210.0,512760.0,3590410.0
train_0109_r960_c1200,train,960,1200,1,511960.0,3587210.0,515160.0,3590410.0
train_0110_r960_c1440,train,960,1440,0,514360.0,3587210.0,517560.0,3590410.0
train_0111_r960_c1680,train,960,1680,6,516760.0,3587210.0,519960.0,3590410.0
train_0112_r960_c1920,train,960,1920,4,519160.0,3587210.0,522360.0,3590410.0
train_0113_r960_c2160,train,960,2160,4,521560.0,3587210.0,524760.0,3590410.0
train_0114_r960_c2400,train,960,2400,0,523960.0,3587210.0,527160.0,3590410.0
train_0115_r960_c2640,train,960,2640,3,526360.0,3587210.0,529560.0,3590410.0
train_0116_r960_c2880,train,960,2880,4,528760.0,3587210.0,531960.0,3590410.0
train_0117_r960_c3120,train,960,3120,6,531160.0,3587210.0,534360.0,3590410.0
train_0118_r960_c3360,train,960,3360,0,533560.0,3587210.0,536760.0,3590410.0
train_0119_r960_c3600,train,960,3600,2,535960.0,3587210.0,539160.0,3590410.0
train_0120_r960_c3840,train,960,3840,0,538360.0,3587210.0,541560.0,3590410.0
train_0121_r960_c4080,train,960,4080,0,540760.0,3587210.0,543960.0,3590410.0
train_0122_r960_c4320,train,960,4320,0,543160.0,3587210.0,546360.0,3590410.0
train_0123_r960_c4560,train,960,4560,1,545560.0,3587210.0,548760.0,3590410.0
train_0124_r960_c4800,train,960,4800,0,547960.0,3587210.0,551160.0,3590410.0
train_0125_r960_c5040,train,960,5040,2,550360.0,3587210.0,553560.0,3590410.0
train_0126_r960_c5280,train,960,5280,4,552760.0,3587210.0,555960.0,3590410.0
train_0127_r960_c5520,train,960,5520,2,555160.0,3587210.0,558360.0,3590410.0
train_0128_r960_c5760,train,960,5760,1,557560.0,3587210.0,560760.0,3590410.0
train_0129_r960_c5902,train,960,5902,0,558980.0,3587210.0,562180.0,3590410.0
train_0130_r1200_c0,train,1200,0,0,499960.0,3584810.0,503160.0,3588010.0
train_0131_r1200_c240,train,1200,240,5,502360.0,3584810.0,505560.0,3588010.0
train_0132_r1200_c480,train,1200,480,5,504760.0,3584810.0,507960.0,3588010.0
train_0133_r1200_c720,train,1200,720,2,507160.0,3584810.0,510360.0,3588010.0
train_0134_r1200_c960,train,1200,960,1,509560.0,3584810.0,512760.0,3588010.0
train_0135_r1200_c1200,train,1200,1200,1,511960.0,3584810.0,515160.0,3588010.0
train_0136_r1200_c1440,train,1200,1440,2,514360.0,3584810.0,517560.0,3588010.0
train_0137_r1200_c1680,train,1200,1680,3,516760.0,3584810.0,519960.0,3588010.0
