pipeline,tile_name,split,row_start,col_start,same_split_partial_tells,same_split_labelable_tells,other_split_tells,excluded_boundary_tells,partial_contamination,cross_split_contamination,excluded_boundary_contamination,any_unlabelled_tell,max_same_split_visible_fraction,max_any_visible_fraction,same_split_partial_ids,other_split_ids,excluded_boundary_ids
320,train_0017_r0_c4080,train,0,4080,0,0,0,0,False,False,False,False,,,,,
320,train_0019_r0_c4560,train,0,4560,0,0,0,0,False,False,False,False,,,,,
320,train_0020_r0_c4800,train,0,4800,0,0,0,0,False,False,False,False,,,,,
320,train_0021_r0_c5040,train,0,5040,0,0,0,0,False,False,False,False,,,,,
320,train_0022_r0_c5280,train,0,5280,1,0,0,0,True,False,False,True,0.482238553186836,0.482238553186836,1078,,
320,train_0024_r0_c5760,train,0,5760,0,0,0,0,False,False,False,False,,,,,
320,train_0025_r0_c5902,train,0,5902,0,0,0,0,False,False,False,False,,,,,
320,train_0028_r240_c480,train,240,480,0,0,0,0,False,False,False,False,,,,,
320,train_0031_r240_c1200,train,240,1200,1,0,0,0,True,False,False,True,0.3250157487554574,0.3250157487554574,108,,
320,train_0048_r240_c5280,train,240,5280,0,0,0,0,False,False,False,False,,,,,
320,train_0049_r240_c5520,train,240,5520,0,0,0,0,False,False,False,False,,,,,
320,train_0050_r240_c5760,train,240,5760,0,0,0,0,False,False,False,False,,,,,
320,train_0051_r240_c5902,train,240,5902,0,0,0,0,False,False,False,False,,,,,
320,train_0054_r480_c480,train,480,480,0,0,0,0,False,False,False,False,,,,,
320,train_0063_r480_c2640,train,480,2640,0,0,0,0,False,False,False,False,,,,,
320,train_0065_r480_c3120,train,480,3120,1,0,0,0,True,False,False,True,0.15216287704141784,0.15216287704141784,1340,,
320,train_0066_r480_c3360,train,480,3360,2,0,0,0,True,False,False,True,0.3139486550880309,0.3139486550880309,155;152,,
320,train_0075_r480_c5520,train,480,5520,0,0,0,0,False,False,False,False,,,,,
320,train_0076_r480_c5760,train,480,5760,0,0,0,0,False,False,False,False,,,,,
320,train_0077_r480_c5902,train,480,5902,0,0,0,0,False,False,False,False,,,,,
320,train_0081_r720_c720,train,720,720,0,0,0,0,False,False,False,False,,,,,
320,train_0082_r720_c960,train,720,960,0,0,0,0,False,False,False,False,,,,,
320,train_0086_r720_c1920,train,720,1920,0,0,0,0,False,False,False,False,,,,,
320,train_0088_r720_c2400,train,720,2400,0,0,0,0,False,False,False,False,,,,,
320,train_0089_r720_c2640,train,720,2640,0,0,0,0,False,False,False,False,,,,,
320,train_0091_r720_c3120,train,720,3120,1,0,0,0,True,False,False,True,0.2142906785703659,0.2142906785703659,1215,,
320,train_0092_r720_c3360,train,720,3360,0,0,0,0,False,False,False,False,,,,,
320,train_0094_r720_c3840,train,720,3840,0,0,0,0,False,False,False,False,,,,,
320,train_0095_r720_c4080,train,720,4080,0,0,0,0,False,False,False,False,,,,,
320,train_0099_r720_c5040,train,720,5040,0,0,0,0,False,False,False,False,,,,,
320,train_0100_r720_c5280,train,720,5280,0,0,0,0,False,False,False,False,,,,,
320,train_0103_r720_c5902,train,720,5902,0,0,0,0,False,False,False,False,,,,,
320,train_0104_r960_c0,train,960,0,0,0,0,0,False,False,False,False,,,,,
320,train_0107_r960_c720,train,960,720,0,0,0,0,False,False,False,False,,,,,
320,train_0110_r960_c1440,train,960,1440,0,0,0,0,False,False,False,False,,,,,
320,train_0114_r960_c2400,train,960,2400,0,0,0,0,False,False,False,False,,,,,
320,train_0118_r960_c3360,train,960,3360,1,0,0,0,True,False,False,True,0.3211026116198898,0.3211026116198898,485,,
320,train_0120_r960_c3840,train,960,3840,0,0,0,0,False,False,False,False,,,,,
320,train_0121_r960_c4080,train,960,4080,0,0,0,0,False,False,False,False,,,,,
320,train_0122_r960_c4320,train,960,4320,1,0,0,0,True,False,False,True,0.4784702986235061,0.4784702986235061,1176,,
320,train_0124_r960_c4800,train,960,4800,0,0,0,0,False,False,False,False,,,,,
320,train_0129_r960_c5902,train,960,5902,0,0,0,0,False,False,False,False,,,,,
320,train_0130_r1200_c0,train,1200,0,0,0,0,0,False,False,False,False,,,,,
320,train_0149_r1200_c4560,train,1200,4560,0,0,0,0,False,False,False,False,,,,,
320,train_0165_r1440_c2160,train,1440,2160,0,0,0,0,False,False,False,False,,,,,
320,train_0166_r1440_c2400,train,1440,2400,0,0,0,0,False,False,False,False,,,,,
320,train_0167_r1440_c2640,train,1440,2640,1,0,0,0,True,False,False,True,0.19648361048666593,0.19648361048666593,503,,
320,train_0176_r1440_c4800,train,1440,4800,2,0,0,0,True,False,False,True,0.3385416097891071,0.3385416097891071,198;412,,
320,train_0178_r1440_c5280,train,1440,5280,0,0,0,0,False,False,False,False,,,,,
320,train_0187_r1680_c1200,train,1680,1200,0,0,0,0,False,False,False,False,,,,,
320,train_0193_r1680_c2640,train,1680,2640,1,0,0,0,True,False,False,True,0.014236602580503117,0.014236602580503117,815,,
320,train_0199_r1680_c4080,train,1680,4080,1,0,0,0,True,False,False,True,0.04036799706641384,0.04036799706641384,59,,
320,train_0205_r1680_c5520,train,1680,5520,0,0,0,0,False,False,False,False,,,,,
320,train_0215_r1920_c1680,train,1920,1680,1,0,0,0,True,False,False,True,0.3759689648887755,0.3759689648887755,543,,
320,train_0218_r1920_c2400,train,1920,2400,0,0,0,0,False,False,False,False,,,,,
320,train_0219_r1920_c2640,train,1920,2640,0,0,0,0,False,False,False,False,,,,,
320,train_0220_r1920_c2880,train,1920,2880,0,0,0,0,False,False,False,False,,,,,
